size,files
449.0,10425
450.0,5885
451.0,5119
452.0,20304
453.0,5080
454.0,8572
455.0,5248
456.0,7489
457.0,5717
458.0,10521
459.0,7651
460.0,13950
461.0,12856
462.0,6775
463.0,7654
464.0,15492
465.0,11064
466.0,9862
467.0,10433
468.0,4661
469.0,5509
470.0,6611
471.0,10232
472.0,10678
473.0,7470
474.0,7231
475.0,6578
476.0,9437
477.0,5370
478.0,7350
479.0,8347
480.0,21877
481.0,8017
482.0,8434
483.0,8531
484.0,10935
485.0,4795
486.0,5103
487.0,4962
488.0,5827
489.0,7043
490.0,5027
491.0,10761
492.0,7079
493.0,20497
494.0,7469
495.0,7841
496.0,4992
497.0,7339
498.0,5849
499.0,8735
500.0,7718
501.0,7326
502.0,5362
503.0,6046
504.0,6992
505.0,5103
506.0,6691
507.0,6875
508.0,5447
509.0,7775
510.0,4083
511.0,5390
512.0,8390
513.0,5186
514.0,5842
515.0,4304
516.0,9232
517.0,10120
518.0,4338
519.0,5608
520.0,5404
521.0,5857
522.0,4351
523.0,5361
524.0,7505
525.0,5626
526.0,5076
527.0,9360
528.0,3045
529.0,4960
530.0,3043
531.0,7900
532.0,3847
533.0,5208
534.0,3849
535.0,5627
536.0,3293
537.0,4323
538.0,8634
539.0,4678
540.0,4707
541.0,5383
542.0,4632
543.0,2824
544.0,4996
545.0,3455
546.0,4935
547.0,2897
548.0,1369
549.0,3574
550.0,3210
551.0,3234
552.0,3603
553.0,5378
554.0,7905
555.0,2562
556.0,2579
557.0,3317
558.0,5479
559.0,5592
560.0,5379
561.0,3804
562.0,3833
563.0,11976
564.0,3815
565.0,4577
566.0,4188
567.0,2551
568.0,7337
569.0,5514
570.0,3806
571.0,3438
572.0,2461
573.0,2323
574.0,2683
575.0,6164
576.0,4414
577.0,3292
578.0,1679
579.0,8402
580.0,19076
581.0,6799
582.0,2861
583.0,5561
584.0,8110
585.0,5712
586.0,5609
587.0,4646
588.0,7287
589.0,6985
590.0,4524
591.0,2366
592.0,3038
593.0,2687
594.0,3266
595.0,1528
596.0,4722
597.0,4544
598.0,2606
599.0,5759
600.0,2127
601.0,2966
602.0,6223
603.0,5040
604.0,5493
605.0,3555
606.0,3685
607.0,3659
608.0,4656
609.0,4766
610.0,7358
611.0,4631
612.0,3226
613.0,3240
614.0,3709
615.0,5908
616.0,4305
617.0,3607
618.0,4116
619.0,4995
620.0,2547
621.0,3185
622.0,6614
623.0,4243
624.0,1643
625.0,3841
626.0,2459
627.0,2478
628.0,2652
629.0,2071
630.0,3138
631.0,1711
632.0,3142
633.0,1506
634.0,2744
635.0,3739
636.0,5448
637.0,4013
638.0,3731
639.0,1585
640.0,2830
641.0,2271
642.0,2811
643.0,3144
644.0,2548
645.0,5805
646.0,3417
647.0,1421
648.0,1294
649.0,1704
650.0,2682
651.0,1719
652.0,1794
653.0,1690
654.0,2053
655.0,3940
656.0,3353
657.0,2615
658.0,2950
659.0,1876
660.0,2792
661.0,4193
662.0,2433
663.0,2099
664.0,2134
665.0,3425
666.0,11916
667.0,1892
668.0,4053
669.0,2879
670.0,3401
671.0,1596
672.0,2246
673.0,3973
674.0,2493
675.0,4171
676.0,4350
677.0,1968
678.0,4472
679.0,2206
680.0,6779
681.0,3017
682.0,31224
683.0,1704
684.0,2098
685.0,3326
686.0,3591
687.0,5141
688.0,4186
689.0,3313
690.0,1944
691.0,2254
692.0,2893
693.0,4655
694.0,2162
695.0,4315
696.0,2207
697.0,4539
698.0,3737
699.0,4586
700.0,5339
701.0,1689
702.0,2902
703.0,2263
704.0,5476
705.0,2152
706.0,1172
707.0,2208
708.0,1490
709.0,6189
710.0,1190
711.0,5185
712.0,1185
713.0,1072
714.0,2808
715.0,1991
716.0,2244
717.0,2481
718.0,7494
719.0,1786
720.0,1616
721.0,3818
722.0,3182
723.0,2173
724.0,4231
725.0,3071
726.0,2251
727.0,1607
728.0,520
729.0,2056
730.0,1029
731.0,1057
732.0,3151
733.0,1761
734.0,2146
735.0,1001
736.0,1139
737.0,1035
738.0,871
739.0,2752
740.0,1265
741.0,1406
742.0,685
743.0,1545
744.0,13880
745.0,1464
746.0,1050
747.0,467
748.0,5745
749.0,802
750.0,1775
751.0,850
752.0,4673
753.0,2931
754.0,2347
755.0,1552
756.0,2619
757.0,3461
758.0,1247
759.0,4042
760.0,3070
761.0,1438
762.0,2285
763.0,1982
764.0,1282
765.0,3714
766.0,1789
767.0,1439
768.0,869
769.0,810
770.0,2852
771.0,2604
772.0,823
773.0,1661
774.0,2659
775.0,2769
776.0,1822
777.0,1606
778.0,4372
779.0,1213
780.0,1626
781.0,1147
782.0,1207
783.0,1296
784.0,1740
785.0,3382
786.0,2978
787.0,2261
788.0,4088
789.0,2235
790.0,2889
791.0,4300
792.0,1586
793.0,2078
794.0,3039
795.0,1875
796.0,2338
797.0,1380
798.0,2067
799.0,2342
800.0,3025
801.0,2935
802.0,3743
803.0,704
804.0,1686
805.0,1054
806.0,1026
807.0,491
808.0,857
809.0,2892
810.0,2849
811.0,570
812.0,1793
813.0,422
814.0,899
815.0,2623
816.0,889
817.0,1296
818.0,2185
819.0,1908
820.0,1214
821.0,1222
822.0,1960
823.0,1043
824.0,657
825.0,893
826.0,522
827.0,1451
828.0,2156
829.0,1689
830.0,1044
831.0,1264
832.0,1754
833.0,1255
834.0,1695
835.0,1791
836.0,2213
837.0,1153
838.0,594
839.0,1459
840.0,2888
841.0,1715
842.0,4136
843.0,2275
844.0,779
845.0,2222
846.0,2324
847.0,4384
848.0,1559
849.0,1379
850.0,1646
851.0,1347
852.0,2150
853.0,1495
854.0,1397
855.0,14835
856.0,1849
857.0,2863
858.0,2110
859.0,1830
860.0,818
861.0,1727
862.0,1351
863.0,1784
864.0,1151
865.0,1156
866.0,1540
867.0,1719
868.0,1146
869.0,1563
870.0,1399
871.0,467
872.0,1054
873.0,419
874.0,915
875.0,1449
876.0,3233
877.0,934
878.0,1288
879.0,760
880.0,742
881.0,1442
882.0,2028
883.0,843
884.0,1274
885.0,2515
886.0,630
887.0,2403
888.0,1577
889.0,2366
890.0,2958
891.0,385
892.0,2788
893.0,1431
894.0,1001
895.0,2140
896.0,439
897.0,445
898.0,1795
899.0,1140
900.0,1000
901.0,1266
902.0,1766
903.0,1829
904.0,2221
905.0,1203
906.0,2682
907.0,3239
908.0,2227
909.0,443
910.0,1396
911.0,3135
912.0,441
913.0,1591
914.0,1270
915.0,2559
916.0,7385
917.0,678
918.0,5570
919.0,707
920.0,754
921.0,949
922.0,2985
923.0,853
924.0,820
925.0,1078
926.0,3986
927.0,6773
928.0,1522
929.0,2168
930.0,5897
931.0,974
932.0,3221
933.0,1371
934.0,1188
935.0,858
936.0,2672
937.0,1088
938.0,3217
939.0,3021
940.0,3204
941.0,2798
942.0,2818
