y2019_ccp_by_10,mean,std,count
"(0.0613, 0.0988]",5.3009678377019505,4.637031303541577,753
"(0.0988, 0.133]",5.27990480552139,3.5946583319335788,754
"(0.133, 0.166]",5.522118733395653,4.039662946955283,755
"(0.166, 0.197]",5.448009650998804,3.4372350543154564,753
"(0.197, 0.229]",5.861968050962927,3.7570851221560537,754
"(0.229, 0.268]",6.058660900105611,4.110671654543089,754
"(0.268, 0.317]",6.115960309003113,3.640962736636855,754
"(0.317, 0.39]",6.418803233481168,4.27475072063493,755
