repo_name,users_2016,users_2017,users_2018,users_2019,users_2016_above_11,users_2017_above_11,users_2018_above_11,users_2019_above_11,commits_2016,commits_2017,commits_2018,commits_2019,users_commit_2016_above_11,users_commit_2017_above_11,users_commit_2018_above_11,users_commit_2019_above_11,users_capped_commit_2016,users_capped_commit_2017,users_capped_commit_2018,users_capped_commit_2019,users_capped_commit_2016_above_11,users_capped_commit_2017_above_11,users_capped_commit_2018_above_11,users_capped_commit_2019_above_11
serv-terr/pbl_met,0,0,1,1,0,0,1,1,0,0,1121,100,0,0,1121,100,0,0,484,100,0,0,484,100
scania/corporate-ui,0,0,0,12,0,0,0,7,0,0,0,638,0,0,0,616,0,0,0,638,0,0,0,616
btcboost/copernicus,0,0,12,0,0,0,9,0,0,0,696,0,0,0,691,0,0,0,696,0,0,0,691,0
angular/angular-pwa-builds,0,0,2,1,0,0,1,1,0,0,800,1282,0,0,799,1282,0,0,485,484,0,0,484,484
OCA/l10n-italy,0,0,39,54,0,0,9,12,0,0,557,1094,0,0,444,973,0,0,557,1094,0,0,444,973
GoogleContainerTools/kaniko,0,0,51,73,0,0,4,5,0,0,606,321,0,0,482,171,0,0,606,321,0,0,482,171
google/startup-os,0,0,18,8,0,0,7,3,0,0,531,61,0,0,509,52,0,0,531,61,0,0,509,52
clinical-meteor/meteor-on-fhir,0,0,30,2,0,0,7,1,0,0,508,202,0,0,458,201,0,0,508,202,0,0,458,201
angular/angular-devkit-architect-builds,0,0,2,1,0,0,1,1,0,0,877,1279,0,0,874,1279,0,0,487,484,0,0,484,484
DataUSA/datausa-site,0,0,3,2,0,0,2,2,0,0,692,415,0,0,691,415,0,0,617,415,0,0,616,415
jmreekes/jmreekes.github.io,0,0,2,0,0,0,2,0,0,0,4120,0,0,0,4120,0,0,0,550,0,0,0,550,0
dotnet/core-setup,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
knative/serving,0,0,100,123,0,0,25,27,0,0,1376,2000,0,0,1127,1709,0,0,1376,2000,0,0,1127,1709
SineLabo/boboke,0,0,2,0,0,0,1,0,0,0,1755,0,0,0,1752,0,0,0,487,0,0,0,484,0
revbayes/revbayes,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0
avlcodemonkey/Dash,0,0,2,1,0,0,1,1,0,0,575,113,0,0,574,113,0,0,485,113,0,0,484,113
BibleBot/BibleBot,0,0,5,3,0,0,5,2,0,0,1515,324,0,0,1515,323,0,0,854,324,0,0,854,323
autoserver-org/autoserver,0,0,1,1,0,0,1,1,0,0,4103,369,0,0,4103,369,0,0,484,369,0,0,484,369
GoogleChromeLabs/ProjectVisBug,0,0,14,16,0,0,1,2,0,0,667,394,0,0,645,361,0,0,506,394,0,0,484,361
lingo-reviews/lingo,0,0,11,10,0,0,9,2,0,0,611,91,0,0,600,66,0,0,611,91,0,0,600,66
alibaba/nacos,0,0,46,86,0,0,12,22,0,0,700,1269,0,0,619,1084,0,0,700,1269,0,0,619,1084
brian-dot-net/writeasync,0,0,1,0,0,0,1,0,0,0,918,0,0,0,918,0,0,0,484,0,0,0,484,0
tensorflow/probability,0,0,73,66,0,0,15,19,0,0,752,1456,0,0,617,1328,0,0,752,1456,0,0,617,1328
angular/angular-devkit-schematics-builds,0,0,2,1,0,0,1,1,0,0,910,1268,0,0,905,1268,0,0,489,484,0,0,484,484
angular/angular-devkit-build-ng-packagr-builds,0,0,2,1,0,0,1,1,0,0,799,1273,0,0,798,1273,0,0,485,484,0,0,484,484
xuepro/xuepro.github.io,0,0,2,1,0,0,1,1,0,0,782,263,0,0,781,263,0,0,485,263,0,0,484,263
deepsweet/start,0,0,4,5,0,0,2,2,0,0,830,145,0,0,828,139,0,0,605,145,0,0,603,139
angular/schematics-angular-builds,0,0,2,1,0,0,1,1,0,0,903,1259,0,0,901,1259,0,0,486,484,0,0,484,484
google/go-cloud,0,0,36,39,0,0,7,9,0,0,609,1032,0,0,541,977,0,0,609,1032,0,0,541,977
ArkEcosystem/ark-desktop,0,0,15,12,0,0,7,4,0,0,642,152,0,0,613,127,0,0,642,152,0,0,613,127
StadGent/fractal_styleguide_gent-base,0,0,13,10,0,0,7,6,0,0,1857,1020,0,0,1832,1001,0,0,1463,977,0,0,1438,958
DDReaper/MixedRealityToolkit-Unity,0,0,27,8,0,0,14,2,0,0,2287,49,0,0,2257,30,0,0,1635,49,0,0,1605,30
whatever555/countries,0,0,3,2,0,0,1,1,0,0,537,267,0,0,523,259,0,0,498,267,0,0,484,259
Bang3DEngine/Bang,0,0,3,2,0,0,1,1,0,0,616,88,0,0,613,87,0,0,487,88,0,0,484,87
Mermade/swagger2openapi,0,0,9,6,0,0,1,1,0,0,850,83,0,0,841,70,0,0,493,83,0,0,484,70
keystonejs/keystone,0,0,27,75,0,0,14,22,0,0,1336,2044,0,0,1281,1911,0,0,1336,2044,0,0,1281,1911
purduesigbots/pros-docs,0,0,14,18,0,0,4,3,0,0,615,85,0,0,590,53,0,0,615,85,0,0,590,53
desecho/movies,0,0,1,1,0,0,1,0,0,0,595,11,0,0,595,0,0,0,484,11,0,0,484,0
bird-team/brisbane-birds,0,0,4,3,0,0,3,3,0,0,571,209,0,0,568,209,0,0,571,209,0,0,568,209
angular/angular-devkit-schematics-cli-builds,0,0,2,1,0,0,1,1,0,0,904,1266,0,0,902,1266,0,0,486,484,0,0,484,484
antvis/g6,0,0,21,22,0,0,7,7,0,0,947,1193,0,0,908,1159,0,0,947,1052,0,0,908,1018
steelbrain/pundle,0,0,2,0,0,0,1,0,0,0,586,0,0,0,585,0,0,0,485,0,0,0,484,0
meain/dotfiles,0,0,2,1,0,0,1,1,0,0,1312,807,0,0,1311,807,0,0,485,484,0,0,484,484
megalithic/dotfiles,0,0,1,1,0,0,1,1,0,0,599,198,0,0,599,198,0,0,484,198,0,0,484,198
quarkusio/quarkus,0,0,30,227,0,0,8,53,0,0,1307,7025,0,0,1216,6593,0,0,1282,5608,0,0,1191,5176
chipprogrammers/chipprogrammers.github.io,0,0,1,1,0,0,1,1,0,0,592,68,0,0,592,68,0,0,484,68,0,0,484,68
angular/schematics-schematics-builds,0,0,2,1,0,0,1,1,0,0,798,1256,0,0,797,1256,0,0,485,484,0,0,484,484
mzaini30/mzaini30.github.io,0,0,2,1,0,0,1,1,0,0,1751,742,0,0,1744,742,0,0,491,484,0,0,484,484
Neoflow/Neoflow-CMS,0,0,2,0,0,0,2,0,0,0,582,0,0,0,582,0,0,0,507,0,0,0,507,0
StephenHodgson/MixedRealityToolkit-Unity,0,0,27,1,0,0,14,1,0,0,2580,39,0,0,2550,39,0,0,1624,39,0,0,1594,39
ampproject/amphtml-build-artifacts,0,0,10,5,0,0,1,1,0,0,686,3969,0,0,664,3961,0,0,506,492,0,0,484,484
adrianchifor/nyan-cat-commit-graph,0,0,1,1,0,0,1,1,0,0,876,2095,0,0,876,2095,0,0,484,484,0,0,484,484
GoogleContainerTools/skaffold,0,0,97,98,0,0,16,22,0,0,2098,3259,0,0,1923,3082,0,0,1820,2958,0,0,1645,2781
servicefabric/servicefabric,0,0,22,7,0,0,12,0,0,0,3656,9,0,0,3639,0,0,0,2573,9,0,0,2556,0
angular/angular-devkit-build-angular-builds,0,0,1,1,0,0,1,1,0,0,796,1274,0,0,796,1274,0,0,484,484,0,0,484,484
grafeas/kritis,0,0,16,22,0,0,9,4,0,0,672,252,0,0,654,195,0,0,672,252,0,0,654,195
simono41/Arch-Install-Script,0,0,2,0,0,0,1,0,0,0,661,0,0,0,655,0,0,0,490,0,0,0,484,0
Antares007/sakhe,0,0,2,1,0,0,1,0,0,0,568,6,0,0,565,0,0,0,487,6,0,0,484,0
motion/pundle,0,0,2,0,0,0,1,0,0,0,586,0,0,0,585,0,0,0,485,0,0,0,484,0
NullVoxPopuli/emberclear,0,0,5,11,0,0,3,4,0,0,687,693,0,0,685,673,0,0,687,693,0,0,685,673
seokju-na/geeks-diary,0,0,1,4,0,0,1,0,0,0,623,7,0,0,623,0,0,0,484,7,0,0,484,0
0xMF/dotfiles,0,0,4,1,0,0,2,1,0,0,516,170,0,0,510,170,0,0,516,170,0,0,510,170
go-soa/soa,0,0,2,0,0,0,2,0,0,0,748,0,0,0,748,0,0,0,681,0,0,0,681,0
dataloom/conductor-client,0,0,12,10,0,0,7,6,0,0,906,1730,0,0,881,1722,0,0,906,1495,0,0,881,1487
szymonlesisz/trezor-connect-alpha,0,0,5,0,0,0,2,0,0,0,1028,0,0,0,1019,0,0,0,933,0,0,0,924,0
wissyhost/wissyhost.github.io,0,0,2,1,0,0,2,1,0,0,707,23,0,0,707,23,0,0,707,23,0,0,707,23
angular/angular-devkit-build-optimizer-builds,0,0,2,1,0,0,1,1,0,0,906,1271,0,0,904,1271,0,0,486,484,0,0,484,484
shtukas/Catalyst,0,0,1,1,0,0,1,1,0,0,1382,570,0,0,1382,570,0,0,484,484,0,0,484,484
Nanolx/NanoMod,0,0,4,5,0,0,2,1,0,0,935,592,0,0,931,579,0,0,505,497,0,0,501,484
Javran/leetcode,0,0,1,0,0,0,1,0,0,0,794,0,0,0,794,0,0,0,484,0,0,0,484,0
ericalba/ericalba.github.io,0,0,3,0,0,0,2,0,0,0,927,0,0,0,916,0,0,0,659,0,0,0,648,0
vladkol/MixedRealityToolkit-Unity,0,0,32,48,0,0,17,17,0,0,2368,1130,0,0,2324,1022,0,0,1708,1130,0,0,1664,1022
christophehurpeau/nightingale,0,0,3,3,0,0,1,1,0,0,557,35,0,0,542,24,0,0,499,35,0,0,484,24
jaypipes/sqltoast,0,0,1,0,0,0,1,0,0,0,535,0,0,0,535,0,0,0,484,0,0,0,484,0
tensorflow/ngraph-bridge,0,0,33,33,0,0,14,8,0,0,579,568,0,0,508,492,0,0,579,568,0,0,508,492
videolan/dav1d,0,0,39,32,0,0,10,8,0,0,666,459,0,0,565,366,0,0,666,459,0,0,565,366
angular/angular-devkit-architect-cli-builds,0,0,2,1,0,0,1,1,0,0,877,1277,0,0,874,1277,0,0,487,484,0,0,484,484
edde-framework/edde,0,0,1,1,0,0,1,1,0,0,740,111,0,0,740,111,0,0,484,111,0,0,484,111
google/gvisor,0,0,45,73,0,0,15,21,0,0,855,1225,0,0,785,1089,0,0,855,1225,0,0,785,1089
angular/angular-devkit-build-webpack-builds,0,0,2,1,0,0,1,1,0,0,601,1270,0,0,599,1270,0,0,486,484,0,0,484,484
CNG/dotfiles,0,0,16,1,0,0,5,1,0,0,892,182,0,0,863,182,0,0,841,182,0,0,812,182
vdbcyril/vdbcyril.github.io,0,0,0,1,0,0,0,1,0,0,0,47,0,0,0,47,0,0,0,47,0,0,0,47
angular/schematics-update-builds,0,0,2,1,0,0,1,1,0,0,798,1256,0,0,797,1256,0,0,485,484,0,0,484,484
ia-toki/judgels,0,0,15,13,0,0,4,4,0,0,1084,866,0,0,1039,830,0,0,584,610,0,0,539,574
hernanmd/BioSmalltalk,0,0,1,1,0,0,1,1,0,0,1334,46,0,0,1334,46,0,0,484,46,0,0,484,46
simono41/Simon-OS,0,0,2,0,0,0,1,0,0,0,661,0,0,0,655,0,0,0,490,0,0,0,484,0
tomooda/ViennaTalk-doc,0,0,1,1,0,0,1,0,0,0,876,8,0,0,876,0,0,0,484,8,0,0,484,0
AppGet/AppGet.Packages,0,0,6,8,0,0,3,2,0,0,4172,3045,0,0,4167,3039,0,0,1111,522,0,0,1106,516
google/filament,0,0,33,34,0,0,6,6,0,0,769,1372,0,0,698,1320,0,0,769,1372,0,0,698,1320
UMMISCO/kendrick,0,0,10,2,0,0,7,1,0,0,934,72,0,0,918,70,0,0,918,72,0,0,902,70
metatron-app/metatron-discovery,0,0,41,41,0,0,25,15,0,0,1358,701,0,0,1308,651,0,0,1358,701,0,0,1308,651
angular/angular-devkit-core-builds,0,0,2,1,0,0,1,1,0,0,913,1269,0,0,906,1269,0,0,491,484,0,0,484,484
MyEtherWallet/MyEtherWallet,0,0,14,49,0,0,9,14,0,0,2055,5380,0,0,2033,5291,0,0,1896,3005,0,0,1874,2916
TheDimPause/thedimpause.github.io,0,0,1,0,0,0,1,0,0,0,28305,0,0,0,28305,0,0,0,484,0,0,0,484,0
LEI/dot,1,0,1,0,0,0,1,0,1,0,574,0,0,0,574,0,1,0,484,0,0,0,484,0
cenkalti/rain,1,0,1,1,0,0,1,1,1,0,688,684,0,0,688,684,1,0,484,484,0,0,484,484
ivan1993spb/clever-snake,1,0,3,2,0,0,3,1,2,0,601,137,0,0,601,133,2,0,601,137,0,0,601,133
joymon/PrayerBook,1,0,2,0,0,0,2,0,2,0,2252,0,0,0,2252,0,2,0,629,0,0,0,629,0
ehmicky/Koi,1,0,2,2,0,0,2,1,3,0,14465,22,0,0,14465,14,3,0,968,22,0,0,968,14
ehmicky/Notes,1,0,2,2,0,0,2,2,3,0,15683,1048,0,0,15683,1048,3,0,968,498,0,0,968,498
dyle/rpgmapper,1,0,5,0,0,0,4,0,4,0,574,0,0,0,573,0,4,0,574,0,0,0,573,0
F5Networks/f5-cloud-libs,1,0,7,11,0,0,5,6,4,0,901,152,0,0,887,133,4,0,679,152,0,0,665,133
Plailect/Guide,2,0,51,10,0,0,4,2,5,0,1256,92,0,0,1168,61,5,0,1101,92,0,0,1013,61
lubuntu-team/lubuntu-manual,1,0,18,8,1,0,8,1,22,0,1211,1032,22,0,1178,1016,22,0,842,500,22,0,809,484
edosgn/colossus-sit,3,0,9,5,2,0,7,3,299,0,747,1152,298,0,738,1146,299,0,747,1090,298,0,738,1084
joseph-roque/BowlingCompanion,1,0,1,1,1,0,1,1,53,0,756,34,53,0,756,34,53,0,484,34,53,0,484,34
hotosm/hotosm-website,3,0,40,47,1,0,21,26,63,0,3906,1794,58,0,3850,1728,63,0,3616,1752,58,0,3560,1686
MarkZH/Genetic_Chess,2,0,3,1,1,0,1,1,83,0,1489,863,79,0,1482,863,83,0,491,484,79,0,484,484
WmHHooper/aima-python,57,0,42,0,32,0,23,0,1621,0,830,0,1535,0,704,0,1621,0,830,0,1535,0,704,0
chaincoin/chaincoin,144,0,286,67,21,0,41,13,2417,0,4623,954,2140,0,4084,787,2004,0,4420,954,1727,0,3881,787
ozooner/greenwall,1,0,2,1,1,0,1,1,418,0,1370,1333,418,0,1369,1333,418,0,485,484,418,0,484,484
akilli/cms,1,0,1,1,1,0,1,1,763,0,2883,900,763,0,2883,900,484,0,484,484,484,0,484,484
stanford-gfx/three.js,280,256,260,245,20,33,27,31,3399,4334,4412,4417,2858,3756,3819,3859,2334,2854,3035,2938,1793,2276,2442,2380
IamJoseph/create-react-app,180,256,165,0,3,5,4,0,630,666,504,0,375,330,281,0,630,666,504,0,375,330,281,0
uniphier/buildroot-unph,259,256,275,114,51,51,48,20,6048,5418,5091,1229,5474,4797,4457,975,5239,5091,4849,1229,4665,4470,4215,975
snickl/buildroot-iu,259,256,234,0,51,51,41,0,6048,5418,3790,0,5474,4797,3265,0,5239,5091,3787,0,4665,4470,3262,0
masahir0y/buildroot-yamada,259,256,275,158,51,51,48,27,6048,5418,5091,2202,5474,4797,4457,1833,5239,5091,4849,2162,4665,4470,4215,1793
gerhardberger/electron,346,256,172,125,35,41,24,18,5876,4192,2877,1605,5199,3681,2614,1434,3690,3881,2877,1605,3013,3370,2614,1434
shiftkey/electron,346,256,129,0,35,41,21,0,5876,4192,1875,0,5199,3681,1670,0,3690,3881,1875,0,3013,3370,1670,0
the-ress/electron,346,256,172,102,35,41,24,18,5876,4192,2877,1248,5199,3681,2614,1119,3690,3881,2877,1248,3013,3370,2614,1119
bpasero/electron,346,256,166,0,35,41,24,0,5876,4192,2830,0,5199,3681,2580,0,3690,3881,2830,0,3013,3370,2580,0
electron/electron,346,256,172,157,35,41,24,19,5876,4192,2877,2004,5199,3681,2614,1773,3690,3881,2877,2004,3013,3370,2614,1773
pvalena/rails,573,512,204,0,42,43,20,0,5255,5259,1229,0,4292,4438,905,0,4958,4737,1229,0,3995,3916,905,0
untidy-hair/rails,573,512,232,0,42,43,21,0,5255,5260,1374,0,4292,4438,1015,0,4958,4738,1374,0,3995,3916,1015,0
soonho-tri/dreal4,0,1,2,2,0,1,2,1,0,224,534,258,0,224,534,257,0,224,497,258,0,224,497,257
ole/microblog,0,1,1,0,0,1,1,0,0,1136,1001,0,0,1136,1001,0,0,484,484,0,0,484,484,0
guildai/guild,0,1,1,1,0,1,1,1,0,681,1365,335,0,681,1365,335,0,484,484,335,0,484,484,335
appetizermonster/steem2krw-data,0,1,1,0,0,1,1,0,0,8065,3258,0,0,8065,3258,0,0,484,484,0,0,484,484,0
mingzuozhibi/mzzb-ui,0,1,1,2,0,1,1,1,0,90,528,153,0,90,528,151,0,90,484,153,0,90,484,151
henrysky/astroNN,0,1,1,1,0,1,1,1,0,217,1196,193,0,217,1196,193,0,217,484,193,0,217,484,193
GloverDonovan/new-start,0,1,1,1,0,1,1,0,0,259,525,8,0,259,525,0,0,259,484,8,0,259,484,0
l3tnun/EPGStation,0,1,6,8,0,1,2,1,0,307,897,221,0,307,892,182,0,307,502,221,0,307,497,182
utarsuno/quasar_source,0,1,1,2,0,1,1,1,0,3075,3547,69,0,3075,3547,67,0,484,484,69,0,484,484,67
countable-web/open-source-corporation,0,1,9,8,0,1,5,1,0,133,778,494,0,133,767,469,0,133,619,494,0,133,608,469
hyperblast/beefweb,0,1,2,3,0,1,1,1,0,170,537,36,0,170,536,32,0,170,485,36,0,170,484,32
Sniffdog/Sniffdogminer,0,1,4,1,0,1,2,1,0,174,757,64,0,174,753,64,0,174,501,64,0,174,497,64
cars10/elasticvue,0,1,1,2,0,1,1,1,0,51,651,287,0,51,651,286,0,51,484,287,0,51,484,286
rvpanoz/luna,0,1,5,5,0,1,3,2,0,369,602,310,0,369,591,301,0,369,535,310,0,369,524,301
supermastermind/playonline,0,1,1,3,0,1,1,1,0,546,863,998,0,546,863,994,0,484,484,488,0,484,484,484
Shadorc/Shadbot,0,1,1,1,0,1,1,1,0,991,730,771,0,991,730,771,0,484,484,484,0,484,484,484
desparoz/desparoz.github.io,0,1,1,0,0,1,1,0,0,31824,1568,0,0,31824,1568,0,0,484,484,0,0,484,484,0
kaitamkun/frisktol,0,1,1,1,0,1,1,0,0,303,546,6,0,303,546,0,0,303,484,6,0,303,484,0
cppd/math,0,1,1,1,0,1,1,1,0,138,591,517,0,138,591,517,0,138,484,484,0,138,484,484
s0hvaperuna/Not-a-bot,0,1,4,1,0,1,2,1,0,334,594,118,0,334,591,118,0,334,509,118,0,334,506,118
dreal/dreal4,0,1,2,2,0,1,2,1,0,224,534,247,0,224,534,246,0,224,497,247,0,224,497,246
UpshiftOne/upshift,0,1,1,1,0,1,1,1,0,309,746,179,0,309,746,179,0,309,484,179,0,309,484,179
SimonBiggs/scriptedforms,0,1,8,3,0,1,2,1,0,109,660,27,0,109,650,17,0,109,534,27,0,109,524,17
conspirator/conspirator.github.io,0,1,1,0,0,1,1,0,0,3563,582,0,0,3563,582,0,0,484,484,0,0,484,484,0
nayutaco/ptarmigan,0,1,7,8,0,1,3,5,0,444,1935,1102,0,444,1924,1087,0,444,767,1038,0,444,756,1023
MorganGeek/bookmarks,0,1,2,2,0,1,1,2,0,1266,896,559,0,1266,894,559,0,484,486,505,0,484,484,505
moducom/mc-coap,0,1,1,0,0,1,1,0,0,233,754,0,0,233,754,0,0,233,484,0,0,233,484,0
xavierdutreilh/robots.midgar.fr,0,1,1,0,0,1,1,0,0,233,784,0,0,233,784,0,0,233,484,0,0,233,484,0
jeantimex/javascript-problems-and-solutions,0,1,2,1,0,1,1,0,0,333,562,1,0,333,558,0,0,333,488,1,0,333,484,0
kaochen/DefenseTowerGame,0,1,1,1,0,1,1,1,0,225,652,70,0,225,652,70,0,225,484,70,0,225,484,70
EngineQ/gf,0,1,11,25,0,1,2,6,0,104,1015,1130,0,104,986,1055,0,104,534,857,0,104,505,782
bstarynk/bismon,0,1,2,1,0,1,1,1,0,774,1597,1148,0,774,1596,1148,0,484,485,484,0,484,484,484
Crimx/crx-saladict,0,1,4,4,0,1,3,1,0,421,1248,834,0,421,1237,831,0,421,597,487,0,421,586,484
APTrust/easy-store,0,1,4,3,0,1,2,3,0,611,888,561,0,611,880,561,0,484,638,561,0,484,630,561
CondensedOtters/PHYSIX_Utils,0,1,1,2,0,1,1,1,0,229,585,214,0,229,585,213,0,229,484,214,0,229,484,213
stevleibelt/net.bazzline.artodeto,0,1,1,1,0,1,1,1,0,430,526,406,0,430,526,406,0,430,484,406,0,430,484,406
dgfitch/glsl-experiments,0,1,1,0,0,1,1,0,0,42,1232,0,0,42,1232,0,0,42,484,0,0,42,484,0
AvaIre/AvaIre,0,1,10,9,0,1,1,1,0,417,755,130,0,417,726,111,0,417,513,130,0,417,484,111
remipassmoilesel/linux-utils,0,1,4,1,0,1,2,1,0,150,690,141,0,150,687,141,0,150,690,141,0,150,687,141
davidl/checknums,0,1,1,1,0,1,1,1,0,792,586,391,0,792,586,391,0,484,484,391,0,484,484,391
KotlinNLP/SimpleDNN,0,1,1,1,0,1,1,1,0,1251,523,325,0,1251,523,325,0,484,484,325,0,484,484,325
muldjord/skyscraper,0,1,2,1,0,1,1,1,0,195,1225,747,0,195,1224,747,0,195,485,484,0,195,484,484
jimmy201602/webterminal,0,1,6,1,0,1,3,1,0,148,619,316,0,148,609,316,0,148,527,316,0,148,517,316
ivosh/jcm2018,0,1,1,1,0,1,1,1,0,254,863,233,0,254,863,233,0,254,484,233,0,254,484,233
rockdragon/julia-programming,0,1,2,0,0,1,2,0,0,329,722,0,0,329,722,0,0,329,555,0,0,329,555,0
btcontract/lnwallet,0,1,2,4,0,1,1,1,0,490,963,723,0,490,961,718,0,484,486,489,0,484,484,484
vidarc/Website,0,1,4,3,0,0,4,3,0,4,524,420,0,0,524,420,0,4,524,420,0,0,524,420
rolandixor/anole,0,1,1,0,0,1,1,0,0,61,3096,0,0,61,3096,0,0,61,484,0,0,61,484,0
gopala-kr/summary,0,1,1,1,0,1,1,1,0,482,538,272,0,482,538,272,0,482,484,272,0,482,484,272
samlanh/psst,0,1,1,1,0,1,1,1,0,397,880,642,0,397,880,642,0,397,484,484,0,397,484,484
sigma-random/bettercap,0,1,38,8,0,0,6,1,0,7,1311,304,0,0,1244,276,0,7,776,304,0,0,709,276
Jeje2201/LeNouveauScrum,0,1,2,1,0,1,1,1,0,31,653,179,0,31,652,179,0,31,485,179,0,31,484,179
nakdai/aten,0,1,1,1,0,1,1,1,0,1187,806,37,0,1187,806,37,0,484,484,37,0,484,484,37
jimboy3100/jimboy3100.github.io,0,1,3,5,0,1,1,2,0,1836,1245,2190,0,1836,1242,2186,0,484,487,525,0,484,484,521
Alveo/alveo-transcriber,0,1,2,1,0,1,1,0,0,450,584,1,0,450,583,0,0,450,485,1,0,450,484,0
jordan-webdev/jwd,0,1,1,1,0,1,1,1,0,346,515,150,0,346,515,150,0,346,484,150,0,346,484,150
cgwire/kitsu,0,1,2,6,0,1,2,3,0,425,764,787,0,425,764,783,0,425,501,513,0,425,501,509
AakashOfficial/College-Work,0,1,1,0,0,1,1,0,0,241,1551,0,0,241,1551,0,0,241,484,0,0,241,484,0
Doctoror/ParticleConstellationsLiveWallpaper,0,1,1,1,0,1,1,1,0,134,546,28,0,134,546,28,0,134,484,28,0,134,484,28
avaire/orion,0,1,10,11,0,1,1,1,0,417,755,159,0,417,726,135,0,417,513,159,0,417,484,135
Blunk-electronic/ET,0,1,1,1,0,1,1,1,0,451,875,1054,0,451,875,1054,0,451,484,484,0,451,484,484
GlukKazan/Dagaz,0,1,1,1,0,1,1,1,0,369,844,346,0,369,844,346,0,369,484,346,0,369,484,346
bogdanmarin/artisan,0,1,1,1,0,1,1,0,0,487,742,2,0,487,742,0,0,484,484,2,0,484,484,0
Anveio/mturk-engine,0,1,1,1,0,1,1,0,0,1327,926,1,0,1327,926,0,0,484,484,1,0,484,484,0
quantumlib/Cirq,0,1,37,61,0,0,9,15,0,1,681,743,0,0,590,632,0,1,681,743,0,0,590,632
jockofcode/randr,0,1,2,0,0,1,1,0,0,115,1168,0,0,115,1167,0,0,115,485,0,0,115,484,0
karateke/karateke.github.io,0,1,1,2,0,1,1,1,0,1717,1073,623,0,1717,1073,622,0,484,484,485,0,484,484,484
Laser9un/laser9un.github.io,0,1,1,1,0,1,1,1,0,137,589,163,0,137,589,163,0,137,484,163,0,137,484,163
lnked/react-starter,0,1,2,2,0,1,1,1,0,521,1423,91,0,521,1422,90,0,484,485,91,0,484,484,90
suzannerohrback/somaticCNVpipeline,0,1,2,0,0,1,1,0,0,20,517,0,0,20,515,0,0,20,486,0,0,20,484,0
arcyfelix/Courses,0,1,2,1,0,1,1,1,0,336,654,289,0,336,651,289,0,336,487,289,0,336,484,289
CharlotteDunois/Yasmin,0,1,2,6,0,1,1,1,0,473,544,71,0,473,543,63,0,473,485,71,0,473,484,63
