repo_name,users_2016,users_2017,users_2018,users_2019,users_2016_above_11,users_2017_above_11,users_2018_above_11,users_2019_above_11,commits_2016,commits_2017,commits_2018,commits_2019,users_commit_2016_above_11,users_commit_2017_above_11,users_commit_2018_above_11,users_commit_2019_above_11,users_capped_commit_2016,users_capped_commit_2017,users_capped_commit_2018,users_capped_commit_2019,users_capped_commit_2016_above_11,users_capped_commit_2017_above_11,users_capped_commit_2018_above_11,users_capped_commit_2019_above_11
russellw/ayane,0,0,1,0,0,0,1,0,0,0,525,0,0,0,525,0,0,0,484,0,0,0,484,0
SKA-ScienceDataProcessor/integration-prototype,0,0,14,10,0,0,7,2,0,0,826,135,0,0,815,102,0,0,789,135,0,0,778,102
mikeshardmind/SinbadCogs,0,0,3,5,0,0,2,2,0,0,632,432,0,0,631,428,0,0,505,432,0,0,504,428
ChromeDevTools/devtools-frontend,0,0,55,114,0,0,9,30,0,0,522,1168,0,0,413,937,0,0,522,1168,0,0,413,937
chriskacerguis/Home-AssistantConfig,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
svnpenn/sage,0,0,5,1,0,0,1,1,0,0,553,18,0,0,542,18,0,0,495,18,0,0,484,18
BR0kEN-/cikit,0,0,6,2,0,0,2,1,0,0,737,19,0,0,725,18,0,0,536,19,0,0,524,18
conversationai/conversationai-models,0,0,20,13,0,0,11,9,0,0,711,236,0,0,690,221,0,0,711,236,0,0,690,221
ycollatin/Praelector,0,0,4,0,0,0,2,0,0,0,850,0,0,0,840,0,0,0,534,0,0,0,524,0
scalecube/scalecube,0,0,22,13,0,0,12,5,0,0,3658,133,0,0,3641,113,0,0,2575,133,0,0,2558,113
chenyanclyz/chenyanclyz.github.io,0,0,2,1,0,0,1,1,0,0,923,214,0,0,915,214,0,0,492,214,0,0,484,214
zhangquan1995/zhangquan1995.github.io,0,0,2,1,0,0,1,1,0,0,502,62,0,0,499,62,0,0,487,62,0,0,484,62
vipyne/rewriting-history,0,0,1,0,0,0,1,0,0,0,922,0,0,0,922,0,0,0,484,0,0,0,484,0
CDCgov/MicrobeTRACE,0,0,12,3,0,0,2,1,0,0,703,138,0,0,678,133,0,0,525,138,0,0,500,133
oribella/oribella,0,0,3,2,0,0,3,1,0,0,582,19,0,0,582,18,0,0,582,19,0,0,582,18
rpgdomestre/rpgdomestre.github.io,0,0,4,4,0,0,4,3,0,0,636,343,0,0,636,337,0,0,636,343,0,0,636,337
ammen99/wayfire,0,0,7,9,0,0,4,3,0,0,763,469,0,0,760,460,0,0,763,469,0,0,760,460
start-runner/start,0,0,4,4,0,0,2,2,0,0,830,139,0,0,828,134,0,0,605,139,0,0,603,134
chrissnead/website,0,0,1,1,0,0,1,1,0,0,602,946,0,0,602,946,0,0,484,484,0,0,484,484
