extension,files,repositories,avg_size,std_size
.button/power,534,530,79.346441947565552,32.173570902447594
.button/failsafe,601,592,80.690515806988358,10.390575532672209
.button,1136,117,1116.0369718309857,4730.2537781476731
.but,737,31,15216.7842605156,29373.33835671968
.busname,1195,145,570.78995815899589,92.085807152766336
.bus,8514,8375,3248.8161851068839,31037.878535389671
.bundle/config,2989,2787,41.67146202743394,31.581937882890184
.bundle,9699,2640,352083.79410248529,2502677.6111787129
.bullet,3073,197,60015.6026684022,85503.475331563852
.builtin,28475,421,212.25506584723487,1248.3874225819823
.built,571,52,7858.8563922942212,170331.90724966704
.builds,11724,254,755.17869327874314,570.79876334685468
.buildroot,684,414,852.0862573099414,1167.5247470647121
.buildpath,4305,3735,381.02671312427429,1115.1895330776156
.buildpacks,2397,2274,118.10930329578632,43.711641245296072
.buildinfo,8746,7636,537.085296135377,2346.0600203371778
.buildignore,4890,4699,8.4940695296523518,19.310990769379561
.builderservice,720,142,145.55138888888885,198.44975015362886
.builder,24856,5144,903.0183456710663,15234.943494302097
.build_complete,1629,260,0.0,0.0
.build/dgph~,915,147,145518.11803278673,530191.42573916411
.build/dgph,2940,591,374087.52380952309,1240395.7938700034
.build-deb/rules,882,865,1559.4376417233559,403.50921385310733
.build-deb/docs,882,865,10.0,0.0
.build-deb/control,882,865,1201.2834467120188,42.177253370046337
.build-deb/compat,882,865,2.0,0.0
.build,76235,21482,4700.7927329966442,36464.402209522632
.bugfix,1858,70,139.72335844994592,106.3140352981184
.buf,1096,42,124014.51733576649,2662348.6285081375
.buddha,13810,13757,7703.4569152787835,65.608058397683152
.bud,1186,248,1520.8785834738617,25195.8184483348
.buckconfig,14902,2784,131.86894376593713,305.55874322929532
.buck,3777,100,269.26211278792687,167.26317886273708
.bttv,13624,13570,9149.5131385789809,418.74521278421736
.btr,828,127,179554.65700483098,660249.885575913
.bto,502,22,564493.90637450211,1238494.5253908273
.btm,1488,404,5401.5026881720441,77129.076738398828
.bt2,2440,77,2487605.5676229554,5665057.4652594021
.bt,11952,295,6533.1926037483236,76868.449053912031
.bsv,3591,144,9539.8045112782038,49601.280673608147
.bst,5688,2748,36981.966772151842,69036.443374236376
.bss,635,77,4816.568503937011,21033.129626671856
.bsp,1726,351,3465436.1436848179,7995869.7496036552
.bson,10066,1303,425540.59517186583,3593047.4117609388
.bsl,16433,561,20865.755309438297,62428.701206068661
.bsh,27743,1079,1900.3456727823216,5122.8952075685047
.bsf,1945,255,4154.8550128534625,5302.6915996680509
.bsd,43744,13807,1733.0615627286043,6267.38241665613
.bsc,549,149,2147242.6976320585,3578343.4817431038
.bs,6057,331,4438.6828462935437,102176.99691787703
.brs,1551,201,103796.67246937462,975564.23475649452
.browserslistrc,1076,964,106.79460966542742,212.61527129894003
.browser,2566,1376,6192.203429462199,124713.93222579817
.broken,911,459,7343.7266739846364,39306.3271527981
.bro,1425,243,14410.461052631568,188734.111646015
.brk,705,99,33018.52056737589,90608.088477666475
.brep,912,58,285901.59539473691,1006205.0666708656
.brd,14916,3192,162035.66432019306,742799.945886893
.branch,1779,1277,15270.065205171457,154262.73777815324
.br-unconfig_remote-glob,802,401,879.53241895261829,75.5549560396692
.br-unconfig_remote-explicit,802,401,875.0324189526184,80.0576037705488
.br-unconfig_config-glob,802,401,879.53241895261851,75.554956039669207
.br-unconfig_config-explicit,802,401,875.0324189526184,80.0576037705488
.br-unconfig_branches-one,802,401,664.52493765586053,102.5702159014546
.br-unconfig_branches-default,802,401,670.0249376558603,101.06929861562949
