y2019_ccp_by_10,mean,std,count
"(0.0614, 0.0989]",2014.7222222222222,2.7896845620697097,756
"(0.0989, 0.133]",2014.3629139072848,3.2765061916839806,755
"(0.133, 0.166]",2014.1309523809523,3.534884940432863,756
"(0.166, 0.197]",2014.0607661822985,3.3910098922648277,757
"(0.197, 0.229]",2013.8819628647216,3.729658365122676,754
"(0.229, 0.268]",2013.3968253968253,4.323193628971846,756
"(0.268, 0.317]",2013.498013245033,4.170877150758756,755
"(0.317, 0.39]",2013.7239101717305,3.5770611821595755,757
