y2019_ccp_by_10,mean,std,count
"(0.0614, 0.0989]",723.4431216931217,3050.0797393884836,756
"(0.0989, 0.133]",854.1006622516556,2722.8198473068587,755
"(0.133, 0.166]",940.1653439153439,3844.6172097078093,756
"(0.166, 0.197]",1354.3672391017174,6001.002677673447,757
"(0.197, 0.229]",1320.4045092838196,3694.3665332285123,754
"(0.229, 0.268]",1973.8055555555557,5617.269458561545,756
"(0.268, 0.317]",2048.46357615894,7508.502721517098,755
"(0.317, 0.39]",2367.7965653896963,7071.829562847723,757
