y2019_ccp_by_10,mean,std,count
"(0.0, 0.0633]",186.29678037915764,138.8607091596118,541
"(0.0633, 0.0989]",179.0790589181247,126.62346093914773,541
"(0.0989, 0.133]",169.65319579447805,119.52115669842294,540
"(0.133, 0.165]",164.84517613128094,124.94122453815041,541
"(0.165, 0.197]",154.9887961253898,114.60062446404257,541
"(0.197, 0.229]",147.83148216600927,113.90254050990704,540
"(0.229, 0.267]",139.116058861799,114.56723666866917,542
"(0.267, 0.315]",139.21735573634302,109.58360333766313,539
"(0.315, 0.385]",146.44865138702949,120.60541653884565,541
"(0.385, 1.0]",124.73873221605118,102.661093312868,541
