repo_name,paths,package_avg,imports_avg
Ensembl/ensembl-compara,5,3.1999999999999997,6.4
romannurik/muzei,5,6.6,12.2
universal-ctags/ctags,5,1.2,1.4
Ashoat/squadcal,5,6.6,10.2
istio/istio,5,2.6,5.6000000000000005
flamingo-geocms/flamingo,261,8.42528735632184,15.237547892720306
anylineorg/anyline,261,4.67432950191571,8.9080459770114935
intranda/goobi-viewer-core,517,8.0135396518375241,15.856866537717609
jasonwee/videoOnCloud,517,2.5822050290135397,5.1586073500967107
adaptris/interlok,2309,4.7059333044608067,9.8094413165872663
neutronimaging/imagingsuite,6,2.3333333333333335,5.0
citra-emu/citra-canary,6,3.333333333333333,4.0
CESNET/libyang,6,2.333333333333333,8.5
http4s/blaze,6,1.8333333333333335,2.3333333333333335
PurpleI2P/i2pd,6,7.4999999999999982,13.833333333333329
opencog/link-grammar,6,2.6666666666666665,6.3333333333333339
STJr/SRB2,6,2.6666666666666665,3.1666666666666665
micolous/metrodroid,6,3.1666666666666665,5.3333333333333339
hail-is/hail,6,2.6666666666666665,4.5
openwrt/luci,6,1.6666666666666665,1.8333333333333333
snowflakedb/snowflake-jdbc,262,6.4198473282442752,13.938931297709924
vert-x3/vertx-web,518,5.7992277992278,8.77992277992278
cloudera/Impala,518,6.0154440154440136,14.013513513513519
andstatus/andstatus,518,7.2722007722007733,12.888030888030887
graalvm/fastr,2054,5.3851022395326194,11.617818889970792
servo/servo,7,6.1428571428571423,12.0
indigoabstract/appplex,7,5.7142857142857144,9.5714285714285712
SimpleITK/SimpleITK,7,1.2857142857142856,1.2857142857142856
openwhisk/openwhisk,7,3.1428571428571428,5.4285714285714279
GaloisInc/saw-script,7,1.1428571428571428,1.2857142857142858
Citadel-Station-13/Citadel-Station-13,7,1.857142857142857,7.1428571428571423
joncampbell123/dosbox-x,7,6.5714285714285712,12.142857142857142
openforis/sepal,7,9.0,14.857142857142854
google/asylo,7,4.4285714285714288,6.8571428571428577
Netflix/conductor,519,6.8728323699421967,13.23506743737958
zenframework/z8,775,5.3754838709677415,10.652903225806455
stupidsing/suite,775,5.6503225806451614,8.5638709677419342
sandjelkovic/dispatchd,8,5.125,6.125
Juniper/contrail-controller,8,6.5,18.75
nrz/ylikuutio,8,5.875,10.875
TOMB5/TOMB5,8,5.875,10.875
kaltura/server,8,3.125,6.25
rsjaffe/MIDI2LR,8,4.625,10.125
craftercms/craftercms,8,4.25,7.375
rebeccahughes/react-native-device-info,8,6.625,12.375
opengisch/QField,8,8.875,17.5
mworks/mworks,8,2.875,2.875
androguard/androguard,8,1.875,2.25
rorywalsh/cabbage,8,4.875,10.875
finmath/finmath-lib,1288,5.4161490683229792,9.253881987577639
status-im/status-react,9,9.2222222222222214,17.666666666666668
fobo66/BookcrossingMobile,9,3.5555555555555558,4.7777777777777777
mikepenz/FastAdapter,9,5.2222222222222223,7.2222222222222223
RevansChen/online-judge,9,1.3333333333333333,2.5555555555555554
