repo_name,repo_max_extension,repo_extensions_num,files,avg_size,capped_avg_file,std_size,capped_std_file
00-Evan/shattered-pixel-dungeon,.java,2,957,3896.7481713688617,3896.7481713688617,4875.8969013273572,4875.8969013273572
01org/TPM2.0-TSS,.sh,4,416,9511.4735576923085,9511.4735576923085,12139.783551166747,12139.783551166747
01org/fastuidraw,.sh,2,160,14881.787500000002,14684.481249999999,24914.438797029157,23382.313201783803
01org/tpm2.0-tools,.sh,2,208,5243.6923076923067,5243.6923076923067,7454.2721065954947,7454.2721065954947
0mkara/etheratom,.js,1,54,8122.0925925925922,7031.61111111111,32982.450901681506,25047.907308676011
0x0ade/MonoMod,.cs,1,118,7422.7627118644068,7422.7627118644068,14789.716480860572,14789.716480860572
0xd4d/dnSpy,.cs,1,4122,5035.8214459000492,4989.4172731683684,11245.324388384541,10374.864178425145
10sr/machine-setups,.sh,5,52,1393.3269230769233,1393.3269230769233,2907.0740408976403,2907.0740408976403
1200wd/bitcoinlib,.py,1,70,14680.4,14680.4,31321.638908199744,31321.638908199744
19Inocybe63/Fungiquebec,.js,1,45,40208.688888888879,37324.133333333346,60752.415768212355,51737.331453128783
20minutes/colette,.twig,2,73,912.52054794520518,912.52054794520518,992.44748125235321,992.44748125235321
24eme/AVA,.sh,6,4538,7202.483693256936,5519.5321727633391,52751.816869699236,17093.525969192771
24eme/CIVA,.sh,6,3824,8505.8739539748913,6056.5656380753126,67910.747614003456,19051.387692819368
24eme/aurouze,.twig,6,525,9392.94857142856,7992.7085714285622,37343.783586771075,24027.830071630829
24eme/giilda,.sh,6,3971,4118.0503651473218,4096.939309997485,9938.98565928626,9488.722114082615
24eme/vinsdeloire,.sh,5,3643,3897.4062585780935,3891.4828438100444,8052.524802806759,7909.8108104791072
256dpi/fire,.rb,2,81,6316.5432098765423,6316.5432098765423,14858.240805231102,14858.240805231102
2Abendsegler/GClh,.js,1,7,185025.0,79569.0,330502.68297196424,73197.187785233022
2d-inc/Flare-Flutter,.swift,5,34,401.64705882352951,401.64705882352951,369.43822072233047,369.43822072233047
2e2a/l-rex,.sh,3,82,3808.1707317073174,3808.1707317073174,8401.6497289533363,8401.6497289533363
2factorauth/twofactorauth,.sh,3,7,2280.1428571428573,2280.1428571428573,1843.1330598170273,1843.1330598170273
2pisoftware/cmfive-core,.sh,3,1904,15679.478991596654,10778.33140756303,73264.097196501883,29994.138979145675
2sic/eav-server,.cs,1,598,2537.168896321069,2537.168896321069,3195.6888442371378,3195.6888442371378
3-form/ceilings,.rb,2,7,1634.4285714285716,1634.4285714285716,814.56243000825441,814.56243000825441
3Dickulus/FragM,.sh,2,24,20007.75,20007.75,31067.824705549996,31067.824705549996
3dcitydb/importer-exporter,.sh,3,1336,7854.6025449101717,7028.9970059880188,29895.456654201796,15270.068819566535
3dct/open_iA,.sh,4,465,12699.004301075285,10681.956989247323,53710.593359585742,16937.029105881917
3drepo/3drepo.io,.sh,4,229,7767.0349344978194,7767.0349344978194,14549.910147687911,14549.910147687911
3drepo/3drepobouncer,.py,3,117,9318.2905982905959,9318.2905982905959,11339.149045232496,11339.149045232496
3liz/lizmap-web-client,.tpl,5,1817,7646.463401210789,5817.6824435883336,61338.255820456077,15937.763296706849
3scale/3scale_toolbox,.rb,1,260,2775.0653846153823,2775.0653846153823,2612.4415080100794,2612.4415080100794
3scale/apicast,.sh,4,377,2532.3846153846143,2532.3846153846143,2961.7648029433694,2961.7648029433694
42wim/matterbridge,.sh,5,1511,15281.756452680342,12166.704169424218,56750.648822071409,27150.014344547129
4Catalyzer/found,.js,1,76,1589.5657894736837,1589.5657894736837,1918.8445226960682,1918.8445226960682
4dn-dcic/fourfront,.sh,3,469,13670.266524520259,11434.9829424307,53669.2580585467,26649.55424098681
4dn-dcic/tibanna,.sh,2,46,6952.4130434782628,6952.4130434782628,11978.346987749903,11978.346987749903
4treesCH/strolch,.tpl,4,1046,3972.1042065009551,3972.1042065009551,6042.8650115638266,6042.8650115638266
5g-empower/empower-runtime,.py,2,155,54008.503225806453,26565.387096774204,166646.10275734818,53849.430660616628
5orenso/simple-blog,.sh,4,279,39251.419354838734,22873.663082437291,134568.41951913337,42721.254040411288
8398a7/abilitysheet,.sh,3,180,1089.6444444444446,1089.6444444444446,1501.1249324483708,1501.1249324483708
937447974/YJCocoa,.swift,3,176,1893.2159090909086,1893.2159090909086,2101.7173845561288,2101.7173845561288
A-l-y-l-e/Alyle-UI,.sh,2,11,529.27272727272737,529.27272727272737,344.73673749952758,344.73673749952758
AAChartModel/AAChartKit,.m,2,58,14190.758620689654,13739.896551724138,31756.483700630859,28969.465347421006
AArnott/Nerdbank.GitVersioning,.js,2,54,9462.7962962962974,9462.7962962962974,13136.505851123036,13136.505851123036
ACEmulator/ACE,.js,3,1517,5914.3005932762035,5061.3032300593322,38528.185356584407,14884.61590515989
ACINQ/eclair,.scala,2,273,13231.168498168503,11977.9010989011,33765.361350550782,21735.646217366204
ADicksonLab/wepy,.sh,2,94,11993.617021276597,11802.680851063829,24813.610144220947,23351.768859902157
AISpace2/AISpace2,.sh,4,102,5267.9509803921583,5267.9509803921583,6881.189701675471,6881.189701675471
AMICI-developer/AMICI,.sh,5,763,8649.1703800786454,8480.297509829621,20628.894304037563,18823.969774330671
AMPATH/ng2-amrs,.sh,2,25,119000.23999999999,49283.999999999993,380412.83712241281,58680.69918990969
AOMediaCodec/libavif,.sh,2,20,11241.950000000003,11241.950000000003,16312.02375541945,16312.02375541945
AOSC-Dev/aosc-os-abbs,.sh,8,52,2353.8076923076924,2353.8076923076924,6189.8109351799267,6189.8109351799267
APIs-guru/openapi-directory,.sh,2,25,3067.6400000000003,3067.6400000000003,8034.7794767498144,8034.7794767498144
APPIAN-PET/APPIAN,.sh,5,819,22303.935286935292,16242.771672771678,105989.75210566357,31420.017263739213
APTrust/easy-store,.sh,2,197,31097.893401015226,14763.015228426395,135175.89734865492,38910.087561526831
ARIG-Robotique/robots,.sh,3,358,2079.986033519554,2079.986033519554,3172.0696161440615,3172.0696161440615
ARM-software/CMSIS_5,.sh,7,1328,14380.802710843351,7708.4495481927715,177700.84960674433,12353.281662565603
ARM-software/lisa,.sh,7,465,8773.6537634408651,8760.9505376344114,14847.625966717185,14692.887440387964
ARPA-SIMC/arkimet,.sh,6,422,25789.165876777231,7541.5450236966835,356934.59843789949,17710.166278362041
ARPA-SIMC/dballe,.sh,3,222,8570.8603603603624,8570.8603603603624,10133.750100881183,10133.750100881183
ARTbio/tools-artbio,.sh,3,96,5362.6354166666679,5362.6354166666679,7418.6485903960365,7418.6485903960365
ASMlover/study,.sh,12,4486,4283.7944716897027,4283.7944716897027,4946.7028567363395,4946.7028567363395
ASP-NET-Core-Boilerplate/Templates,.cs,1,130,1849.3538461538465,1849.3538461538465,2823.9663344874393,2823.9663344874393
ATLauncher/ATLauncher,.sh,4,285,5194.5543859649151,5194.5543859649151,9658.2370177049143,9658.2370177049143
AVSystem/avs_commons,.sh,4,140,9562.7071428571435,9562.7071428571435,10780.075124533972,10780.075124533972
AVSystem/scala-commons,.sh,2,435,3757.7241379310344,3757.7241379310344,5711.7201697034016,5711.7201697034016
AVnetWS/Hentoid,.java,2,231,3552.6017316017324,3552.6017316017324,5854.3265900786,5854.3265900786
