,y2019_ccp_10bins,capped_avg_file,avg_capped_files,Commit_Per_Involved_User_Cappped,age,repo_all_commits,authors,stargazers_count,repo_all_commits_log10,authors_log10,stargazers_count_log10,continuing_developers_ratio,churn,Onboarding,package_avg,repo_name
0,"(0.0, 0.0614]",8309.784735072317,4.551120927005294,191.35830106565368,4.080687830687831,2641.873015873016,44.870370370370374,627.6362433862433,3.1777449160847793,1.110698205928209,1.365949790280152,0.8507385246998559,0.14926147530014436,0.2585821778579043,5.171307040229488,756
1,"(0.0614, 0.0989]",7673.8334808751815,5.3065831103894,180.1067991142586,4.277777777777778,2627.9880952380954,50.96031746031746,723.4431216931217,3.216212461125687,1.2292291098911587,1.6653066977230888,0.8338861535407305,0.16611384645926972,0.231008330637584,4.9182524832841805,756
2,"(0.0989, 0.133]",7836.08821248977,5.269410024566312,174.98606854399537,4.637086092715232,3197.785430463576,57.86754966887417,854.1006622516556,3.2522739880427043,1.3025374538323997,1.8141973291556457,0.8446541110706212,0.15534588892937856,0.20469227911544718,5.601332049517664,755
3,"(0.133, 0.166]",8084.360340707099,5.53080571649867,165.35267170304564,4.869047619047619,3843.3439153439153,67.47089947089947,940.1653439153439,3.2978413646828537,1.3508211133988772,1.799845437846085,0.8286885852002782,0.17131141479972192,0.2094731499951691,5.4023820375932425,756
4,"(0.166, 0.197]",8248.296852406596,5.43886137731217,153.52617778309715,4.939233817701453,4288.347424042272,76.7001321003963,1354.3672391017174,3.346513097995261,1.4653034167431735,2.0062386091781828,0.8140160805601657,0.18598391943983408,0.1986317546496242,5.4695591475039995,757
5,"(0.197, 0.229]",8383.414719161652,5.873159760286476,151.2684568273059,5.118037135278515,4823.0039787798405,86.73076923076923,1320.4045092838196,3.3805418528813416,1.5265362301423147,2.1516083888163693,0.8181929737936288,0.18180702620637132,0.17024888193731347,5.540687456148878,754
6,"(0.229, 0.268]",8745.573852509597,6.056050526269232,143.6298416271299,5.603174603174603,5419.357142857143,131.6984126984127,1973.8055555555557,3.4244302525010943,1.5866348082873236,2.1641162633564446,0.8206736245999999,0.17932637540000002,0.15745872757824142,5.533061081425183,756
7,"(0.268, 0.317]",8883.022259871435,6.116772724951997,138.4570250195751,5.501986754966888,4879.671523178808,109.10596026490066,2048.46357615894,3.4292846714481886,1.6056886428803439,2.2130327028101027,0.802296998211096,0.19770300178890413,0.15985590515634215,5.368306552988239,755
8,"(0.317, 0.39]",8567.844448232523,6.418803233528482,139.87822623074214,5.276089828269485,5224.064729194188,121.78071334214003,2367.7965653896963,3.4427139713484065,1.6567270878253393,2.3181592069913655,0.8109384437183671,0.18906155628163285,0.1549482651505849,5.441350483146207,757
9,"(0.39, 1.0]",8851.218155671742,6.4726409321646825,121.55136791594113,5.916556291390728,7682.283443708609,193.4794701986755,3268.44238410596,3.507720746199655,1.7709906999493232,2.4089460291178475,0.8187037053111408,0.1812962946888587,0.128636233906205,5.744558697373136,755
