year,pairs,repos_num,authors,match_avg_capped_files_ratio,match_avg_capped_files_ratio_s1
2008,284743,359,3226,0.42617728969632263,0.44528344118866892
2009,323546,442,3667,0.42866238494680819,0.45021484077403628
2010,349673,572,4130,0.43725709448541922,0.44460269029203964
2011,390329,783,5043,0.45267197671707715,0.46692044328317867
2012,420156,992,5669,0.46424661316273,0.485172770535899
2013,464179,1332,6570,0.4714474373032817,0.49970622354128691
2014,514374,1822,7734,0.4867683825387753,0.51735309795810236
2015,566050,2464,8825,0.49220740217295295,0.52894419631158762
2016,604102,3123,9486,0.5012001284551284,0.53914083060974294
2017,615407,3499,9647,0.5076640337207734,0.542341397377205
2018,617932,3602,9678,0.50656868393285992,0.53880532874946285
2019,618807,3656,9679,0.50501044752241009,0.52917362852396022
