repo_name,extension,extensions_num,files,repositories,avg_size,capped_avg_file,std_size,capped_std_file
00-Evan/shattered-pixel-dungeon,.bat,1,1,1,2314.0,2314.0,,
00-Evan/shattered-pixel-dungeon,.java,1,956,1,3898.403765690376,3898.403765690376,4878.179921308354,4878.179921308354
01org/TPM2.0-TSS,.c,1,408,1,9611.725490196079,9611.725490196079,12223.331638393423,12223.331638393423
01org/TPM2.0-TSS,.sh,1,5,1,2969.2,2969.2,4245.557407455469,4245.557407455469
01org/TPM2.0-TSS,.cpp,1,1,1,1814.0,1814.0,,
01org/TPM2.0-TSS,.py,1,2,1,9264.5,9264.5,984.9997461928607,984.9997461928607
01org/fastuidraw,.cpp,1,158,1,15050.291139240513,14850.487341772148,25026.93893181632,23483.51786729165
01org/fastuidraw,.sh,1,2,1,1570.0,1570.0,688.7220048756972,688.7220048756972
01org/tpm2.0-tools,.c,1,124,1,7310.9838709677415,7310.9838709677415,8957.436214017547,8957.436214017547
01org/tpm2.0-tools,.sh,1,84,1,2191.9761904761926,2191.9761904761926,1966.5376275042725,1966.5376275042725
0mkara/etheratom,.js,1,54,1,8122.092592592591,7031.6111111111095,32982.45090168151,25047.907308676007
0x0ade/MonoMod,.cs,1,118,1,7422.762711864413,7422.762711864413,14789.716480860574,14789.716480860574
0xd4d/dnSpy,.cs,1,4122,1,5035.821445900054,4989.417273168365,11245.324388384535,10374.864178425145
10sr/machine-setups,.php,1,4,1,597.75,597.75,971.0449268700188,971.0449268700188
10sr/machine-setups,.groovy,1,19,1,958.0526315789474,958.0526315789474,680.6272820538591,680.6272820538591
10sr/machine-setups,.py,1,6,1,6428.0,6428.0,6599.0563264757775,6599.0563264757775
10sr/machine-setups,.bat,1,1,1,2260.0,2260.0,,
10sr/machine-setups,.sh,1,22,1,501.40909090909105,501.40909090909105,1104.7149884145256,1104.7149884145256
1200wd/bitcoinlib,.py,1,70,1,14680.399999999996,14680.399999999996,31321.63890819975,31321.63890819975
19Inocybe63/Fungiquebec,.js,1,45,1,40208.688888888886,37324.13333333332,60752.41576821236,51737.331453128776
20minutes/colette,.js,1,10,1,2127.5,2127.5,1452.6360903926043,1452.6360903926043
20minutes/colette,.twig,1,63,1,719.6666666666667,719.6666666666667,749.4115325782559,749.4115325782559
24eme/AVA,.sh,1,36,1,1776.2222222222226,1776.2222222222226,2065.337400469419,2065.337400469419
24eme/AVA,.js,1,107,1,21060.906542056066,14295.850467289716,73083.62375253778,37139.749581258104
24eme/AVA,.php,1,4388,1,6916.059024612577,5340.541020966272,52380.92794562622,16333.023638691071
24eme/AVA,.py,1,1,1,1808.0,1808.0,,
24eme/AVA,.pl,1,3,1,4765.333333333334,4765.333333333334,3921.852155975967,3921.852155975967
24eme/AVA,.bat,1,3,1,1213.0,1213.0,187.19241437622415,187.19241437622415
24eme/CIVA,.pl,1,1,1,1253.0,1253.0,,
24eme/CIVA,.sh,1,66,1,632.2272727272727,632.2272727272727,629.6207111111736,629.6207111111736
24eme/CIVA,.php,1,3618,1,7659.984798231067,5756.213653952465,57484.53690045925,17470.950125414587
24eme/CIVA,.bat,1,3,1,1226.0,1226.0,177.78920102188434,177.78920102188434
24eme/CIVA,.py,1,1,1,2913.0,2913.0,,
24eme/CIVA,.js,1,135,1,35281.97037037036,16924.111111111117,203974.7543638432,44487.59319108333
24eme/aurouze,.bat,1,1,1,5124.0,5124.0,,
24eme/aurouze,.js,1,203,1,17069.068965517232,13447.758620689661,58744.91961733121,37132.6240637164
24eme/aurouze,.php,1,199,1,4984.6834170854245,4984.6834170854245,7833.528824464333,7833.528824464333
24eme/aurouze,.py,1,1,1,8002.0,8002.0,,
24eme/aurouze,.sh,1,10,1,2952.5,2952.5,2778.5864211861403,2778.5864211861403
24eme/aurouze,.twig,1,111,1,3888.954954954956,3888.954954954956,4053.9571181913507,4053.9571181913507
24eme/giilda,.bat,1,3,1,1226.0,1226.0,177.78920102188434,177.78920102188434
24eme/giilda,.php,1,3798,1,3832.328067403896,3832.328067403896,7003.312044273965,7003.312044273965
24eme/giilda,.js,1,121,1,13162.280991735544,12469.454545454546,39863.205455913674,36219.37463729415
24eme/giilda,.py,1,1,1,2494.0,2494.0,,
24eme/giilda,.pl,1,6,1,5713.0,5713.0,3749.8500236676127,3749.8500236676127
24eme/giilda,.sh,1,42,1,3916.9047619047606,3916.9047619047606,10964.942184647382,10964.942184647382
24eme/vinsdeloire,.pl,1,2,1,5675.5,5675.5,3711.603494448188,3711.603494448188
24eme/vinsdeloire,.sh,1,30,1,1078.5999999999997,1078.5999999999997,1255.5840130366046,1255.5840130366046
24eme/vinsdeloire,.php,1,3500,1,3853.2565714285693,3853.2565714285693,7113.208340113056,7113.208340113056
24eme/vinsdeloire,.bat,1,3,1,1226.0,1226.0,177.78920102188434,177.78920102188434
24eme/vinsdeloire,.js,1,108,1,6152.4629629629635,5952.657407407409,23329.33919147229,21623.82296085225
256dpi/fire,.go,1,80,1,6384.237499999998,6384.237499999998,14939.409642347551,14939.409642347551
256dpi/fire,.rb,1,1,1,901.0,901.0,,
2Abendsegler/GClh,.js,1,7,1,185025.00000000003,79569.0,330502.68297196424,73197.18778523302
2d-inc/Flare-Flutter,.swift,1,3,1,251.3333333333333,251.3333333333333,127.17835245564922,127.17835245564922
2d-inc/Flare-Flutter,.m,1,19,1,318.4736842105263,318.4736842105263,102.54449896998791,102.54449896998791
2d-inc/Flare-Flutter,.java,1,10,1,385.19999999999993,385.19999999999993,61.135187176544335,61.135187176544335
