first_repo_name,second_repo_name,joint_commits
prestodb/presto,facebook/presto,523
Polymer/tachometer,PolymerLabs/tachometer,268
lbryio/lbry-electron,lbryio/lbry-app,268
PolymerLabs/tachometer,Polymer/tachometer,268
gcompris/GCompris-qt,KDE/gcompris,268
lbryio/lbry-app,lbryio/lbry-electron,268
KDE/gcompris,gcompris/GCompris-qt,268
pfnet/chainercv,chainer/chainercv,269
gdbtek/linux-cookbooks,gdbtek/ubuntu-cookbooks,269
inliniac/suricata,OISF/suricata,269
chainer/chainercv,pfnet/chainercv,269
OISF/suricata,inliniac/suricata,269
gdbtek/ubuntu-cookbooks,gdbtek/linux-cookbooks,269
gnss-sdr/gnss-sdr,carlesfernandez/gnss-sdr,1037
carlesfernandez/gnss-sdr,gnss-sdr/gnss-sdr,1037
rhos-infra/InfraRed,rhosqeauto/InfraRed,270
exa-analytics/atomic,exa-analytics/exatomic,270
exa-analytics/exatomic,exa-analytics/atomic,270
rhosqeauto/InfraRed,rhos-infra/InfraRed,270
rhos-infra/InfraRed,redhat-openstack/infrared,270
redhat-openstack/infrared,rhos-infra/InfraRed,270
JacobFischer/Cerveau,siggame/Cerveau,526
siggame/Cerveau,JacobFischer/Cerveau,526
ianopolous/Peergos,Peergos/Peergos,782
Peergos/Peergos,ianopolous/Peergos,782
Core2D/Core2D,wieslawsoltes/Core2D,271
wieslawsoltes/Core2D,Core2D/Core2D,271
iomad/iomad,projectestac/agora_moodle2,1551
projectestac/agora_moodle2,iomad/iomad,1551
libvirt/libvirt,zippy2/libvirt,4367
zippy2/libvirt,libvirt/libvirt,4367
GreyWuffGames/Werewolf,GreyWolfDev/Werewolf,272
End-to-end-provenance/RDataTracker,blernermhc/RDataTracker,272
blernermhc/RDataTracker,End-to-end-provenance/RDataTracker,272
GreyWolfDev/Werewolf,GreyWuffGames/Werewolf,272
plumed/plumed2,GiovanniBussi/test-travis-ci,273
GiovanniBussi/test-travis-ci,plumed/plumed2,273
alephdata/aleph,pudo/aleph,1553
pudo/aleph,alephdata/aleph,1553
boonex/trident,unaio/una,1042
unaio/una,boonex/trident,1042
gocd/www.go.cd,gocd/gocd.github.io,275
grokys/Perspex,AvaloniaUI/Avalonia,275
Perspex/Perspex,grokys/Perspex,275
AvaloniaUI/Avalonia,grokys/Perspex,275
gocd/gocd.github.io,gocd/www.go.cd,275
grokys/Perspex,Perspex/Perspex,275
RocketChat/Rocket.Chat.Android,RocketChat/Rocket.Chat.Android.Lily,787
RocketChat/Rocket.Chat.Android.Lily,RocketChat/Rocket.Chat.Android,787
