repo_name,repo_max_extension,repo_extensions_num,files,avg_size,capped_avg_file,std_size,capped_std_file,major_extension,major_files,major_avg_size,major_capped_avg_file,major_std_size,major_capped_std_file,major_extension_ratio
mirage/irmin,.c,1,1,2343.0,2343.0,,,.c,1,2343.0,2343.0,,,1.0
rsmarples/dhcpcd,.c,1,50,19044.159999999996,19044.159999999996,23429.092975344709,23429.092975344709,.c,50,19044.160000000003,19044.160000000003,23429.092975344716,23429.092975344716,1.0
psaris/funq,.c,1,2,13714.5,13714.5,120.91525958289962,120.91525958289962,.c,2,13714.5,13714.5,120.91525958289962,120.91525958289962,1.0
jdh8/metallic,.c,1,449,1051.0601336302905,969.64587973274035,10590.126763390483,8893.0463734683326,.c,449,1051.0601336302893,969.64587973273865,10590.126763390483,8893.0463734683235,1.0
eXeC64/imv,.c,1,30,6317.9666666666653,6317.9666666666653,9365.38074592229,9365.38074592229,.c,30,6317.9666666666672,6317.9666666666672,9365.38074592229,9365.38074592229,1.0
swaywm/wlroots,.c,1,157,11605.72611464968,11351.643312101911,19080.255174747541,16276.87973902323,.c,157,11605.726114649684,11351.643312101909,19080.255174747545,16276.879739023227,1.0
SkyhookWireless/embedded-client,.c,1,9,18047.888888888891,18047.888888888891,14409.938449247835,14409.938449247835,.c,9,18047.888888888891,18047.888888888891,14409.938449247835,14409.938449247835,1.0
emacs-ess/ESS,.c,1,1,0.0,0.0,,,.c,1,0.0,0.0,,,1.0
ceyusa/gstreamer-vaapi,.c,1,130,26729.369230769229,26729.369230769229,34367.259494087237,34367.259494087237,.c,130,26729.369230769236,26729.369230769236,34367.259494087251,34367.259494087251,1.0
shentino/kotaka,.c,1,325,2711.36,2711.36,2416.5298115017213,2416.5298115017213,.c,325,2711.3600000000006,2711.3600000000006,2416.5298115017208,2416.5298115017208,1.0
SAOImageDS9/tkblt,.c,1,49,15205.020408163269,15205.020408163269,16418.742956463142,16418.742956463142,.c,49,15205.020408163267,15205.020408163267,16418.742956463146,16418.742956463146,1.0
JuliaGPU/CUDAnative.jl,.c,1,1,2327.0,2327.0,,,.c,1,2327.0,2327.0,,,1.0
CurtisMcKinney/Necronomicon,.c,1,43,62820.651162790688,61089.2558139535,61293.015037015408,56839.824228596648,.c,43,62820.651162790695,61089.255813953489,61293.0150370154,56839.824228596648,1.0
marclos/Climate_Change_Narratives,.c,1,4,19868.75,19868.75,27127.976191562833,27127.976191562833,.c,4,19868.75,19868.75,27127.976191562833,27127.976191562833,1.0
inoahdev/tbd,.c,1,29,20791.137931034486,20791.137931034486,19189.528042145685,19189.528042145685,.c,29,20791.137931034486,20791.137931034486,19189.528042145685,19189.528042145685,1.0
stewid/siminf,.c,1,18,7725.7777777777774,7725.7777777777774,7484.8587204675732,7484.8587204675732,.c,18,7725.7777777777774,7725.7777777777774,7484.8587204675741,7484.8587204675741,1.0
Avygeil/base_enhanced,.c,1,100,127754.15999999995,48908.589999999989,783456.9808980925,50534.932825308912,.c,100,127754.16,48908.590000000011,783456.9808980925,50534.932825308926,1.0
endlessm/gnome-initial-setup,.sh,2,57,12631.859649122807,12631.859649122807,9380.52121122465,9380.52121122465,.c,56,12848.607142857141,12848.607142857141,9320.27651887602,9320.27651887602,0.98245614035087714
bert/libdxf,.sh,2,96,75961.270833333343,70277.0,70144.914797938749,51033.889495428237,.c,93,78361.236559139841,72493.602150537612,69959.248883126667,50302.198693872422,0.96875
eqrion/cbindgen,.cpp,2,574,544.18292682926824,544.18292682926824,749.06992218970424,749.06992218970424,.c,492,522.91666666666663,522.91666666666663,608.03252804396755,608.03252804396755,0.8571428571428571
eworm-de/iproute2,.sh,2,234,10560.32905982906,10530.196581196587,17771.387150466624,17465.090195358436,.c,233,10598.785407725325,10568.523605150216,17799.886285629411,17492.825354408254,0.99572649572649574
paul-j-lucas/cdecl,.sh,2,34,10136.382352941177,10136.382352941177,9094.56872222732,9094.56872222732,.c,33,10282.969696969696,10282.969696969696,9194.6988479940446,9194.6988479940446,0.97058823529411764
GNOME/gnome-calendar,.py,2,58,19395.689655172417,19395.689655172417,19637.445551719124,19637.445551719124,.c,57,19727.596491228069,19727.596491228069,19647.188186553427,19647.188186553427,0.98275862068965514
ImpulseAdventure/GUIslice,.cpp,2,50,19892.099999999995,19892.099999999995,27870.565493153579,27870.565493153579,.c,44,16812.090909090912,16812.090909090912,25344.593406124626,25344.593406124626,0.88
sdroege/rsplugin,.py,2,4,38944.0,38944.0,44226.107493199081,44226.107493199081,.c,3,51480.666666666664,51480.666666666664,44619.668413529624,44619.668413529624,0.75
01org/tpm2.0-tools,.sh,2,208,5243.6923076923067,5243.6923076923067,7454.2721065954947,7454.2721065954947,.c,124,7310.9838709677424,7310.9838709677424,8957.4362140175454,8957.4362140175454,0.59615384615384615
GNOME/eog,.py,2,52,18309.576923076929,18309.576923076929,24742.835781764756,24742.835781764756,.c,48,19462.687499999993,19462.687499999993,25411.346872588027,25411.346872588027,0.92307692307692313
MarcNo/lifelines,.sh,2,184,12700.641304347826,12700.641304347826,16421.832531595581,16421.832531595581,.c,177,13118.666666666668,13118.666666666668,16595.923601235041,16595.923601235041,0.96195652173913049
markdryan/subtilis,.sh,2,77,13821.38961038961,13821.38961038961,14110.878645994939,14110.878645994939,.c,75,14182.400000000005,14182.400000000005,14121.36315294304,14121.36315294304,0.974025974025974
psprint/zplugin,.sh,2,28,55907.571428571435,55689.535714285717,56317.402049342643,55782.488610595981,.c,21,73150.904761904763,72860.190476190473,55003.404060934954,54359.252035526624,0.75
neilbrown/edlib,.py,2,56,15650.499999999998,15650.499999999998,15548.855605945586,15548.855605945586,.c,45,15185.2,15185.2,15183.270707950544,15183.270707950544,0.8035714285714286
murisi/L2,.s,2,14,9980.1428571428587,9980.1428571428587,8421.8084286447174,8421.8084286447174,.c,11,12412.454545454544,12412.454545454544,7856.595526863227,7856.595526863227,0.7857142857142857
ZerBea/hcxtools,.py,2,37,20836.97297297297,20426.864864864863,37932.639175317141,35967.165435344687,.c,36,21285.416666666664,20863.916666666661,38371.118829047155,36377.583601031,0.972972972972973
flatpak/xdg-desktop-portal,.sh,2,76,13639.473684210521,13639.473684210521,12732.583164436754,12732.583164436754,.c,74,13724.405405405405,13724.405405405405,12808.351170092454,12808.351170092454,0.97368421052631582
xfce-mirror/xfdesktop,.sh,2,24,38734.958333333336,38734.958333333336,44861.470063023786,44861.470063023786,.c,23,40388.434782608696,40388.434782608696,45115.772812163334,45115.772812163334,0.95833333333333337
kibook/s1kd-tools,.sh,2,41,24128.292682926829,24128.292682926829,25650.908211254336,25650.908211254336,.c,35,28216.942857142862,28216.942857142862,25621.928684742885,25621.928684742885,0.85365853658536583
xfce-mirror/xfce4-settings,.sh,2,40,28754.275000000005,28754.275000000005,29929.487008880453,29929.487008880453,.c,39,29455.333333333339,29455.333333333339,29986.172411834774,29986.172411834774,0.975
GNOME/gnome-flashback,.sh,2,122,13432.557377049179,13432.557377049179,14282.434594676992,14282.434594676992,.c,121,13533.768595041323,13533.768595041323,14297.821173032115,14297.821173032115,0.99180327868852458
bradharding/doomretro,.cpp,2,81,47016.024691358041,39396.740740740737,78922.350351781744,47261.140914280142,.c,80,47513.474999999991,39798.95,79292.3983680743,47419.6122986516,0.98765432098765427
ederc/gb,.sh,2,73,15810.28767123288,15464.506849315068,27366.449380217095,24921.486998685432,.c,72,15371.680555555558,15021.097222222224,27298.891894049411,24804.703052558922,0.98630136986301364
vellvm/vellvm,.sh,2,3,320.66666666666669,320.66666666666669,346.90969045752144,346.90969045752144,.c,2,364.5,364.5,478.71129086329267,478.71129086329267,0.66666666666666663
lpereira/hardinfo,.sh,2,129,10436.015503875969,10436.015503875969,11887.274176341172,11887.274176341172,.c,123,10882.837398373984,10882.837398373984,11996.168053730493,11996.168053730493,0.95348837209302328
ColinIanKing/stress-ng,.sh,2,442,5324.644796380092,5324.644796380092,7510.3832094580494,7510.3832094580494,.c,441,5325.0045351473918,5325.0045351473918,7518.9090797787549,7518.9090797787549,0.997737556561086
GNOME/gnome-todo,.py,2,78,11962.487179487178,11962.487179487178,9792.1213847725157,9792.1213847725157,.c,75,12307.0,12307.0,9821.619767882732,9821.619767882732,0.96153846153846156
okbob/pspg,.sh,2,14,29273.428571428572,29273.428571428572,41719.084992020486,41719.084992020486,.c,12,34024.999999999993,34024.999999999993,43410.923193885828,43410.923193885828,0.8571428571428571
xfce-mirror/xfce4-terminal,.sh,2,15,33783.866666666661,33783.866666666661,35482.575276699783,35482.575276699783,.c,14,36147.857142857145,36147.857142857145,35575.066216181724,35575.066216181724,0.93333333333333335
AOMediaCodec/libavif,.sh,2,20,11241.950000000003,11241.950000000003,16312.02375541945,16312.02375541945,.c,18,12420.611111111111,12420.611111111111,16812.906852768479,16812.906852768479,0.9
alexlarsson/gthree,.js,2,89,12787.370786516853,12787.370786516853,15891.143486361732,15891.143486361732,.c,87,12779.310344827589,12779.310344827589,15978.199742374527,15978.199742374527,0.97752808988764039
g0orx/pihpsdr,.sh,2,96,17768.614583333336,17183.354166666672,27616.211939774104,23040.5037499659,.c,93,18316.204301075275,17712.064516129038,27889.250372468636,23218.933223073182,0.96875
xfce-mirror/xfce4-power-manager,.sh,2,34,16669.705882352937,16669.705882352937,18688.856687194904,18688.856687194904,.c,33,17156.878787878784,17156.878787878784,18758.105259389835,18758.105259389835,0.97058823529411764
pascallanger/DIY-Multiprotocol-TX-Module,.c,2,3,19851.0,19851.0,16974.988865975731,16974.988865975731,.c,2,29624.5,29624.5,1781.2019818089132,1781.2019818089132,0.66666666666666663
thomas-maeder/popeye,.sh,2,577,6434.2079722703593,6370.0623916811028,12804.373899847236,11771.881668047681,.c,571,6493.1628721541147,6428.34325744308,12858.511317333259,11819.772830417236,0.9896013864818024
narupo/cap,.py,2,56,17880.482142857141,13123.71428571429,61211.565857202055,35461.723999374204,.c,47,18069.999999999996,12402.361702127657,65988.075697843669,37080.765746176941,0.8392857142857143
sysstat/sysstat,.sh,2,40,49602.875000000007,49602.875000000007,37204.486720870933,37204.486720870933,.c,39,50866.974358974359,50866.974358974359,36810.318146930935,36810.318146930935,0.975
xfce-mirror/xfce4-session,.sh,2,30,15898.433333333334,15898.433333333334,15767.600411501477,15767.600411501477,.c,29,16399.965517241377,16399.965517241377,15801.293365876185,15801.293365876185,0.96666666666666667
Rdatatable/data.table,.sh,2,40,19516.175000000003,19516.175000000003,23544.014952781417,23544.014952781417,.c,39,19996.897435897434,19996.897435897434,23652.082488479431,23652.082488479431,0.975
switchbrew/libnx,.s,2,148,8074.4662162162167,8074.4662162162167,13187.07790060687,13187.07790060687,.c,143,8243.2867132867159,8243.2867132867159,13375.110876266703,13375.110876266703,0.96621621621621623
Karlson2k/libmicrohttpd,.sh,2,195,11664.912820512818,11442.241025641022,22829.69161451836,20825.0077369909,.c,186,12112.354838709674,11878.908602150541,23267.670557929261,21208.976809481283,0.9538461538461539
boazsegev/facil.io,.js,2,46,71761.152173913055,27035.043478260872,234560.77064675273,45270.544890300735,.c,40,24693.575,20670.799999999996,54866.260871737126,31688.166907522034,0.86956521739130432
videolan/dav1d,.s,2,96,25883.812500000007,24819.791666666664,43512.833784821771,38229.426443077413,.c,79,21149.936708860758,19856.949367088615,42144.437284281805,35177.41150842826,0.82291666666666663
revk/SolarSystem,.js,2,15,20636.133333333331,20636.133333333331,36410.163875070983,36410.163875070983,.c,13,23066.461538461539,23066.461538461539,38711.264160911844,38711.264160911844,0.8666666666666667
fennecdjay/Gwion,.sh,2,147,3541.8367346938771,3541.8367346938771,8214.18454505894,8214.18454505894,.c,137,3607.6204379562023,3607.6204379562023,8433.9289594535148,8433.9289594535148,0.93197278911564629
SirCmpwn/sway,.py,2,212,5546.7169811320746,5546.7169811320746,8521.2760267058711,8521.2760267058711,.c,211,5568.9857819905164,5568.9857819905164,8535.35505578815,8535.35505578815,0.99528301886792447
xfce-mirror/ristretto,.sh,2,19,31335.526315789477,31335.526315789477,40309.739732019581,40309.739732019581,.c,18,33037.277777777781,33037.277777777781,40770.039793954747,40770.039793954747,0.94736842105263153
dr-who/stutools,.sh,2,67,6579.1641791044767,6579.1641791044767,8307.8711228478332,8307.8711228478332,.c,60,7253.2666666666673,7253.2666666666673,8529.9300628338187,8529.9300628338187,0.89552238805970152
rockdaboot/wget2,.sh,2,219,7818.502283105021,7818.502283105021,14735.095548070753,14735.095548070753,.c,198,8488.7525252525211,8488.7525252525211,15341.70482668751,15341.70482668751,0.90410958904109584
google/tock-on-titan,.sh,3,82,5189.463414634145,5189.463414634145,6148.2175439537586,6148.2175439537586,.c,62,6092.3548387096771,6092.3548387096771,6433.6365901148574,6433.6365901148574,0.75609756097560976
oresat/oresat-firmware,.sh,3,72,7028.1527777777783,7028.1527777777783,10573.533274450301,10573.533274450301,.c,69,7310.2753623188419,7310.2753623188419,10713.626865550104,10713.626865550104,0.95833333333333337
open-power/pdbg,.sh,3,132,5167.174242424242,5167.174242424242,8140.50687273098,8140.50687273098,.c,117,5030.13675213675,5030.13675213675,8357.221779855392,8357.221779855392,0.88636363636363635
endlessm/gnome-software,.sh,3,155,16014.799999999996,16014.799999999996,22331.811546899495,22331.811546899495,.c,142,17165.781690140851,17165.781690140851,22930.476201429916,22930.476201429916,0.91612903225806452
OpenFOAM/OpenFOAM-dev,.sh,3,4133,6180.6029518509495,6180.6029518509495,8886.1430830757818,8886.1430830757818,.c,4129,6179.8963429401674,6179.8963429401674,8888.6254656996935,8888.6254656996935,0.99903218001451732
wr-hamburg/julea,.sh,3,125,6739.5360000000037,6739.5360000000037,7551.3231638503748,7551.3231638503748,.c,117,7092.1794871794891,7092.1794871794891,7679.7275932914326,7679.7275932914326,0.936
Juniper/contrail-vrouter,.sh,3,136,18173.294117647059,18173.294117647059,24407.194284903002,24407.194284903002,.c,106,20995.641509433961,20995.641509433961,26853.784301973665,26853.784301973665,0.77941176470588236
PSUmodeling/MM-PIHM,.sh,3,230,13119.139130434776,13119.139130434776,18388.347588787314,18388.347588787314,.c,227,13188.21585903083,13188.21585903083,18487.682973948737,18487.682973948737,0.9869565217391304
