d_status,tfdd_events,repositories,commits_diff_1_months_avg,commits_rel_diff_1_months_avg,bug_hits_1_months_avg,bug_hits_rel_diff_1_months_avg,bug_ratio_1_months_avg,bug_ratio_rel_diff_1_months_avg,refactor_diff_1_months_avg,refactor_rel_diff_1_months_avg,commits_diff_3_months_avg,commits_rel_diff_3_months_avg,bug_hits_3_months_avg,bug_hits_rel_diff_3_months_avg,bug_ratio_3_months_avg,bug_ratio_rel_diff_3_months_avg,refactor_diff_3_months_avg,refactor_rel_diff_3_months_avg,commits_diff_6_months_avg,commits_rel_diff_6_months_avg,bug_hits_6_months_avg,bug_hits_rel_diff_6_months_avg,bug_ratio_6_months_avg,bug_ratio_rel_diff_6_months_avg,refactor_diff_6_months_avg,refactor_rel_diff_6_months_avg,commits_diff_12_months_avg,commits_rel_diff_12_months_avg,bug_hits_12_months_avg,bug_hits_rel_diff_12_months_avg,bug_ratio_12_months_avg,bug_ratio_rel_diff_12_months_avg,refactor_diff_12_months_avg,refactor_rel_diff_12_months_avg
Non-surviving,29,29,-3.517241379,0.19840909,-0.586206897,0.122796463,-0.04007245,0.011893001,-0.344827586,0.222996977,-26.17241379,0.064213164,-5.068965517,0.246512178,-0.017967966,0.046740447,-2.586206897,-0.14830562,-101.2413793,-0.108209589,-18.55172414,-0.059907565,-0.006709165,0.082670083,-9.103448276,0.022643534,-195.5172414,-0.180033539,-34.72413793,-0.167701592,-0.003534378,0.07006328,-16.37931034,-0.080390853
Surviving,22,22,-1.545454545,0.348711022,-0.727272727,0.515223172,0.005649682,0.125971794,-0.636363636,0.202192982,-13.22727273,0.325916246,-3.045454545,1.145924331,0.015498209,0.223059593,-2.454545455,0.838382451,7.045454545,0.148495273,3.272727273,0.365630305,0.024908103,0.15358681,2.681818182,0.548120657,71.18181818,0.175065657,19.36363636,0.264811909,0.023302156,0.125988581,5.818181818,0.255454501
