id,repository,status,tfdd_date,tfdd_commit
235,pockethub/PocketHub,Non-surviving,2015-04-09 19:37:20,da7f4a3dd67193c6dca51ecff499fe074544541e
236,roidrage/lograge,Non-surviving,2015-11-15 09:55:53,0cb40f017c67f19ca6aade1981cfd3273fcf286f
237,twilio/twilio-php,Surviving,2011-08-11 14:56:18,fb11624b231dd4da38b189b341bd22ab6395b4dc
238,Automattic/kue,Surviving,2012-12-14 23:44:07,2e859d988afbfa6353b1d5c4c8b89e85605f944c
239,plataformatec/has_scope,Non-surviving,2015-07-21 09:36:43,b3b2d5c38ac72fd7672d90af2f6203263af45f35
240,andersao/l5-repository,Non-surviving,2016-03-01 15:33:39,ad3cd40e99033603abe62669dd05459b9dede565
241,numba/numba,Surviving,2013-12-02 10:27:13,cdd7b19a327ec8140d8278558966904bdb4860fe
242,ApiGen/ApiGen,Surviving,2014-02-15 20:22:29,d6e61bc5a088bdcb5863c92d7cd0058b25c7743c
243,Sigil-Ebook/Sigil,Surviving,2015-06-14 22:55:04,a48072d39aab90a150fbe115dde1aa284a88ae01
244,PyMySQL/PyMySQL,Surviving,2013-07-25 04:55:25,917365596b486e5b2e992b7080e4a75efe7273d8
245,fex-team/fis,Non-surviving,2014-12-16 03:32:37,af132bc0204aa99f34340f299141fbe1b0fa319e
246,savonrb/savon,Non-surviving,2013-09-11 08:05:47,4c3fcd77dd2568bb785b2b4e5592bd55c6a7dc4c
247,SheetJS/js-xlsx,Surviving,2015-06-03 15:25:05,a345c332ac179885be239b8d6e05475570353b9e
248,hexchat/hexchat,Non-surviving,2015-02-04 10:48:44,afd2135393c4c4f759054bbadfce7accbef4e927
249,daylerees/colour-schemes,Surviving,2012-11-24 10:40:15,0df3efa5903d420d5a5bb44607296a1521b7c340
250,NanoHttpd/nanohttpd,Surviving,2014-05-12 18:53:13,98d6d146214026ab242ce1de320bd7d203d7a5f3
251,wkhtmltopdf/wkhtmltopdf,Non-surviving,2014-02-20 10:35:31,29d23fc089d9a737314409737fd4cbf38e882bb7
252,qbittorrent/qBittorrent,Surviving,2013-07-06 14:01:32,494fc54e6fa903f38aed75635c1115929e15651a
253,apenwarr/sshuttle,Non-surviving,2014-10-05 23:00:57,5825dddb0234d34f31f90af4e764b7f0d0cfd43c
254,mozilla/togetherjs,Non-surviving,2013-12-06 17:16:17,7777f126356b749543e76094014bbc86b546a2ec
255,googlevr/gvr-android-sdk,Surviving,2014-12-10 14:53:56,08ad25a04f2801bd822c3f2cd28301b68d74aef6
256,giakki/uncss,Non-surviving,2016-02-14 09:02:46,50cb679572d4723315f02c7e7fdbdaadf32021d0
257,z3t0/Arduino-IRremote,Non-surviving,2015-07-01 16:06:51,e3ec11d696f4996a7329d7f0eca0921c53c0294e
258,geokit/geokit-rails,Surviving,2012-01-31 10:33:57,ec89e8ca6cd545cfd036a4185e51f17788a239c1
259,vcr/vcr,Non-surviving,2014-12-22 18:31:20,f50307721402cdbdf6a425b2bd34088d03a36d75
