id,repository,status,tfdd_date,tfdd_commit
66,nanomsg/nanomsg,Non-surviving,2014-11-27 20:01:26,9a0cb281695759fde449244b5f664ece5075d9f5
67,shelljs/shelljs,Surviving,2016-01-12 00:52:45,c661c83ef030c8a5f298b38ff5b7e01e66b84ca2
68,boxen/our-boxen,Non-surviving,2013-12-09 18:55:34,119da7efe85bb9de2cb8bb9007c764a6716436a6
69,flot/flot,Non-surviving,2011-03-17 13:54:30,2ffbd4a6df98591a1751d6e0c208289a97f10477
70,junit-team/junit4,Non-surviving,2015-08-10 12:04:38,33fa8a845223e7bae46609cacce8e5d65d29de4c
71,sinatra/sinatra,Non-surviving,2016-04-13 21:33:52,004daf4922af6ee7a7a87982f3040768e428209e
72,facebook/hhvm,Non-surviving,2015-06-12 13:32:28,9f83ce115e450f4c928b37700f4f252222028e2c
73,technicalpickles/jeweler,Non-surviving,2016-03-18 15:19:34,ec91e05d06f2835ee30568fa42b5fa7d451444b6
74,postrank-labs/goliath,Non-surviving,2015-06-25 22:46:53,6c41d0a4986e70a8a53b54d3cde713938eec82eb
75,AssetSync/asset_sync,Non-surviving,2014-12-12 17:18:14,17167517a0941f328a4c11a6baaf3c9d71b3acbd
76,swanandp/acts_as_list,Surviving,2013-07-27 07:24:40,3379b908bcc1f91b57d6365057d1c148cd98562a
77,carltongibson/django-filter,Surviving,2013-03-30 12:21:11,d88b98dd2b70551deb9c128b209fcf783b325acc
78,fuel/fuel,Non-surviving,2011-12-13 20:40:21,b5611308b4e557c16a8ef0579a0d9f1f524724b2
79,CellularPrivacy/Android-IMSI-Catcher-Detector,Surviving,2015-09-01 04:40:18,c54129b3940d87544237b10ee66f520f235d0d1a
80,fetlife/rollout,Surviving,2013-07-24 15:23:23,e70dade38be6d53b50c1210f177760c0b68ff604
81,erikhuda/thor,Non-surviving,2013-03-26 17:03:34,8a09e6b800dfe2775f65f916ef12ad42f3f09867
82,jwt/ruby-jwt,Surviving,2014-11-24 14:54:55,813be9f9514d55dc1944c7c4f5e0f6dab668b997
83,thoughtbot/paperclip,Non-surviving,2015-11-20 12:45:15,4ef27eb84fe283f5dbe62fd99d7359822e79db28
84,wp-cli/wp-cli,Surviving,2015-08-17 15:28:50,b9c5cd0838bf00c7433f9e0b926bfc256dce580b
85,gaearon/react-hot-loader,Non-surviving,2016-05-04 23:06:19,47d53e674fd38ad89c97f60adb24e72d3832f12e
86,opauth/opauth,Non-surviving,2013-11-16 12:40:02,6f0b14d63bbbca7640736ec141c1f09a20861914
87,mochajs/mocha,Surviving,2014-05-16 14:14:01,521b7e443e3a0feed3091c0378973c4faab42160
88,carrierwaveuploader/carrierwave,Non-surviving,2011-10-23 10:41:24,ec15e528849908900679ab1a39d91dcbdf3e71b7
89,justinwalsh/daux.io,Surviving,2014-11-20 07:20:23,d178cfe2516eb49d89d076903800d437dc8c8116
90,HubSpot/tether,Non-surviving,2016-02-21 17:48:07,7a7fcc0b4ec7b0e10b168b9e730c39bc018fb852
91,haml/haml,Surviving,2011-12-16 22:44:18,630b8fe2033e698768a67a923960a14e1d02100f
92,flyerhzm/bullet,Surviving,2010-06-26 11:05:45,5e3e72b91522d3727e22cd646ea355b70512c25a
93,collectiveidea/awesome_nested_set,Surviving,2009-11-27 15:13:29,b9aba888f5f28e7ce47af4a36c2ae1df17640b38
94,ecomfe/echarts,Surviving,2015-03-20 14:22:35,e669a174a70ebc044ec46f43ab44a2f08432c704
95,novus/nvd3,Surviving,2013-06-06 18:57:32,168b9703c2b8eebb1f862b181227adca8bbe9cd1
96,arasatasaygin/is.js,Non-surviving,2016-01-14 11:44:20,eac39a0701782e0bfd00c5a6d52e9d69c745d3a3
97,mozilla/rr,Surviving,2012-04-18 05:35:18,e657eb2ab40e81c97f58bacd6b032cacc9f7e774
98,SFML/SFML,Non-surviving,2015-03-25 18:53:56,e00d160224fbdf519aa9e420e57cc8e29e244f31
99,browsermedia/browsercms,Non-surviving,2014-09-30 19:33:18,d6545571ef199c554b5ddec3f3e5729536a54e4f
100,josevalim/rails-footnotes,Surviving,2014-05-13 21:32:56,5d5a43db5a898e755359343d8d981ce966c06418
101,brynary/webrat,Non-surviving,2012-06-15 18:40:05,e0d924ac8a4f015a5b509552928429d9e84f8105
102,qiao/PathFinding.js,Non-surviving,2015-08-11 01:53:06,b9b86b574afeedcc48902c4747187d44c2edd456
103,RubaXa/Sortable,Surviving,2015-09-27 23:07:11,f3af805d75b078b89a6e84a9ba5942c369ca6c41
104,RubyMoney/money,Non-surviving,2016-02-17 22:01:41,5a9b970ca4c13d2721217acbd63327a328882105
105,propelorm/Propel2,Non-surviving,2015-01-01 18:16:01,f22de18745f531c545bd906b46aeb476175c16ee
106,cloudius-systems/osv,Surviving,2015-11-12 05:57:26,ce742e77e18b733ebd20d4992d80cd79f6072956
107,mbleigh/acts-as-taggable-on,Surviving,2013-04-05 11:12:28,501d274f324ec9d85cac1f0fa2f9c169cd552923
108,joemccann/dillinger,Non-surviving,2015-03-31 14:39:57,cfefed0fb690565a9fe67a9895ea1d203c0875b7
109,node-nock/nock,Non-surviving,2016-04-13 13:40:36,f77ea63b2cc8d2d4c67095e8c790484864f858d1
110,stylus/stylus,Surviving,2013-04-04 16:27:52,6109c50140d90fb6b9d6629bfe35f590b0784340
111,toland/qlmarkdown,Surviving,2012-01-26 07:23:10,64670bf5b6a311f5f75ffe755c7d6615ac9d172b
112,mongodb/mongoid,Non-surviving,2016-02-22 08:12:10,13725342dcc7829b787d8a8a7220b345edb65068
113,welaika/wordmove,Non-surviving,2016-04-08 13:26:40,2097b2f640b31c46f406721905a3c712bb60111d
114,php-amqplib/php-amqplib,Non-surviving,2016-02-02 15:58:31,b27c6afe85d00ac4be0a73466b08c07111b29cd7
115,ZipArchive/ZipArchive,Surviving,2015-07-12 09:06:34,90efaf41c74326f79553bb8d00040c3d41157168
116,django-tastypie/django-tastypie,Surviving,2014-10-22 22:37:10,c7bd98bcb16b3957129f28ee210b8f86738532b6
117,VitaliyRodnenko/geeknote,Non-surviving,2012-08-11 12:38:43,192a0c5faa1906e2e1f47353bdf8d6000df7eca8
118,NoamB/sorcery,Non-surviving,2013-08-25 10:47:00,415ba32d524da3a6bdee2cf558c82c02679c8fb3
119,phpredis/phpredis,Surviving,2013-12-14 19:00:06,c81a95413d41fac7871e4bd6b77122bb2226ddb3
120,freedomofpress/securedrop,Surviving,2012-07-03 15:51:39,b32e1a5f22ff0a999aa9a69b5ea0c1d8872b336a
121,pdfkit/pdfkit,Surviving,2012-03-16 12:48:01,151ffbf799b799b9f9e47e4dc1871018c101c139
122,stripe/stripe-php,Non-surviving,2016-02-24 19:20:23,ad16ae773d37297d46041e317107bc37115ccba5
123,soveran/cuba,Non-surviving,2013-11-28 21:28:52,de982bee030f24d7d15b45dba2c9829b7d350c2b
124,VerbalExpressions/PHPVerbalExpressions,Non-surviving,2016-01-15 20:15:13,755a71670fbeaa9b66cfc2a015697cc3abb07280
125,troessner/reek,Surviving,2011-10-17 14:00:01,2bec055d1fdf9628712b8df73f67f8250c1c2e09
126,showdownjs/showdown,Surviving,2012-08-11 10:02:41,2e102c72b26708147817f8f5e4ab1161a38a57a0
127,hashrocket/decent_exposure,Non-surviving,2015-01-06 23:49:38,08837d32ef73b40cf1a10846a134523460238dc8
128,nodejitsu/node-http-proxy,Non-surviving,2014-09-12 14:31:28,ecbba1a008be23b61db012b98aab130898d0fda8
129,code-troopers/android-betterpickers,Non-surviving,2014-04-15 16:28:39,c597e2a7bd89ec991d24a1b5fa33c1f46874c852
130,yiisoft/yii,Non-surviving,2015-02-14 00:19:42,ee39b8511c6c821f2e8863655d92151cc4931448
131,norman/friendly_id,Non-surviving,2015-09-22 16:36:05,8531cdce5737df541bc2dbf9c0fa3ee4824b6fc8
132,breach/thrust,Non-surviving,2014-12-13 14:31:05,59656cca28c8180297aade6cf49a18dc42e9f660
133,maroslaw/rainyday.js,Non-surviving,2014-10-28 16:56:59,8d89997a2db2d74ecfd2654b2262f8f484f16a1a
134,jquery-validation/jquery-validation,Non-surviving,2015-09-03 09:20:46,d7c8f8f64c074e4c80ae0b4761ba4d4210c2004e
135,tmuxinator/tmuxinator,Non-surviving,2015-11-10 19:18:42,57ef604245d5c9add490b872fc17d8d0cb1918c9
136,thoughtbot/shoulda,Non-surviving,2012-07-17 18:33:43,eeb7cd41fb70cee100b58079b717c75dc92b8b63
137,ValveSoftware/source-sdk-2013,Non-surviving,2014-06-12 14:11:56,56accfdb9c4abd32ae1dc26b2e4cc87898cf4dc1
138,visionmedia/superagent,Surviving,2014-03-06 15:40:08,220b148fb7a902ccabd144d34181e29315eb0043
139,OpenRefine/OpenRefine,Non-surviving,2013-03-14 22:22:43,2c0cb0d65700d48a68dbeec18103e1c4e71fbbe6
140,lisa-lab/pylearn2,Non-surviving,2015-08-05 20:16:25,fe9beee9b922c97bd8e5dd2ac023e1def229da31
141,mofarrell/p2pvc,Non-surviving,2015-02-11 17:54:19,41f2ae946a57de9e3aa792ea108e686176ba896e
142,mbebenita/Broadway,Non-surviving,2014-12-18 16:05:26,d608270676a2270b2411a650a859ab00cdee3f1b
143,streamio/streamio-ffmpeg,Non-surviving,2014-01-30 11:18:03,1a7db769aa466bb2dbd9f7f9fe723301bfb6a590
144,less/less.js,Non-surviving,2016-02-17 02:33:04,1bc481bb9ade9ae27394c2cef25265608fc2c5c8
145,soundcloud/lhm,Surviving,2012-02-17 08:04:40,be6117bc549d92839b4f66e76c27497fb0787579
146,kangax/fabric.js,Non-surviving,2016-03-01 19:45:51,9ef51ff77d80dc3df8808538c5f7670473629b68
147,ctran/annotate_models,Surviving,2012-08-27 11:33:27,6b705dbf55c5b321153c4c52083617b66ad71aab
148,zeromq/libzmq,Surviving,2011-12-19 12:43:38,92bee5a6dbb150115058c494e83702097aa58747
149,formers/former,Non-surviving,2015-09-03 14:00:41,7bfd1c138ed82c951c319cc85c45b70c165804d9
150,nodejs/http-parser,Surviving,2011-12-13 15:37:51,b97fdb051307afe018bf22b5f09cc83e83fec6e9
151,mishoo/UglifyJS,Surviving,2011-02-04 19:19:43,0c67f5723faeac64eb6e30d78b4811e29251e984
152,euske/pdfminer,Non-surviving,2010-12-25 06:41:35,c7709045e9c9b19676b9df12656664f32b0963b1
153,jerryscript-project/jerryscript,Surviving,2015-12-11 11:44:15,2f661f9509180043ebb800b7974744da9d739dd2
154,farbrausch/fr_public,Surviving,2012-11-28 07:21:51,a789908154125e34aec906901b2bc447a1e0eb9c
155,globalize/globalize,Surviving,2011-01-11 22:09:08,0469dc3e245feffed84ddd767b2974853187062f
156,dompdf/dompdf,Non-surviving,2015-12-06 08:55:18,0df18ff1ea178857fbc6f318738d162631bb53c9
157,afaqurk/linux-dash,Surviving,2014-07-06 07:46:44,16c1eafc2485c8f56ff5303dc59ed40afe09aa6f
158,PHPOffice/PHPWord,Surviving,2014-06-30 23:52:24,9770f44877ab4d3a74a0488d2f0cd2f2de8e31de
159,rspec/rspec-rails,Non-surviving,2015-08-03 01:59:05,b1dff7fb6c3b67650e05865abc9676738076fcf0
