repo_name,tfdd_date,status,commits_before_1_months,bug_hits_before_1_months,bug_ratio_before_1_months,refactor_before_1_months,commits_after_1_months,bug_hits_after_1_months,bug_ratio_after_1_months,refactor_after_1_months,commits_before_3_months,bug_hits_before_3_months,bug_ratio_before_3_months,refactor_before_3_months,commits_after_3_months,bug_hits_after_3_months,bug_ratio_after_3_months,refactor_after_3_months,commits_before_6_months,bug_hits_before_6_months,bug_ratio_before_6_months,refactor_before_6_months,commits_after_6_months,bug_hits_after_6_months,bug_ratio_after_6_months,refactor_after_6_months,commits_before_12_months,bug_hits_before_12_months,bug_ratio_before_12_months,refactor_before_12_months,commits_after_12_months,bug_hits_after_12_months,bug_ratio_after_12_months,refactor_after_12_months,commits,bug_fix_hit_rate,refactor_hit_rate
VerbalExpressions/PHPVerbalExpressions,2016-01-15 20:15:13 UTC,Non-surviving,31,3,0.0967741935483871,4,1,0,0.0,0,31,3,0.0967741935483871,4,1,0,0.0,0,31,3,0.0967741935483871,4,1,0,0.0,0,32,3,0.09375,4,1,0,0.0,0,118,0.19491525423728814,0.067796610169491525
WordPress-Coding-Standards/WordPress-Coding-Standards,2013-03-28 11:08:32 UTC,Surviving,21,0,0.0,0,2,0,0.0,0,46,2,0.043478260869565216,14,12,0,0.0,2,51,4,0.0784313725490196,14,12,0,0.0,2,67,4,0.059701492537313432,15,204,40,0.19607843137254902,12,2447,0.27543931344503475,0.13812832039231712
ZipArchive/ZipArchive,2015-07-12 09:06:34 UTC,Surviving,1,0,0.0,0,0,0,0.0,0,12,6,0.5,1,7,1,0.14285714285714285,2,54,13,0.24074074074074073,6,54,13,0.24074074074074073,2,75,14,0.18666666666666668,7,93,23,0.24731182795698925,3,628,0.2213375796178344,0.071656050955414011
activeadmin/inherited_resources,2014-06-03 11:55:52 UTC,Non-surviving,4,0,0.0,0,0,0,0.0,0,12,2,0.16666666666666666,0,1,0,0.0,0,14,3,0.21428571428571427,0,14,4,0.2857142857142857,1,53,12,0.22641509433962265,1,27,6,0.22222222222222221,2,752,0.14893617021276595,0.0851063829787234
adamfisk/LittleProxy,2014-10-24 13:24:33 UTC,Non-surviving,0,0,0.0,0,0,0,0.0,0,6,0,0.0,0,19,3,0.15789473684210525,2,24,3,0.125,2,51,11,0.21568627450980393,6,102,16,0.15686274509803921,5,167,27,0.16167664670658682,19,1003,0.17647058823529413,0.1415752741774676
afaqurk/linux-dash,2014-07-06 07:46:44 UTC,Surviving,51,8,0.15686274509803921,5,2,1,0.5,0,59,9,0.15254237288135594,6,2,1,0.5,0,349,75,0.2148997134670487,30,117,10,0.085470085470085472,6,352,75,0.21306818181818182,30,227,35,0.15418502202643172,10,855,0.20233918128654971,0.074853801169590645
airblade/paper_trail,2012-04-13 04:53:37 UTC,Surviving,7,0,0.0,1,3,0,0.0,3,49,1,0.020408163265306121,6,8,0,0.0,4,76,6,0.078947368421052627,10,14,1,0.071428571428571425,4,158,17,0.10759493670886076,17,140,17,0.12142857142857143,16,2085,0.19136690647482013,0.11654676258992806
andersao/l5-repository,2016-03-01 15:33:39 UTC,Non-surviving,11,0,0.0,2,3,0,0.0,0,35,6,0.17142857142857143,5,74,23,0.3108108108108108,0,45,6,0.13333333333333333,5,100,30,0.3,1,189,22,0.1164021164021164,6,112,33,0.29464285714285715,2,448,0.21875,0.029017857142857144
angular-app/angular-app,2014-08-12 08:08:47 UTC,Non-surviving,0,0,0.0,0,1,0,0.0,0,6,0,0.0,2,1,0,0.0,0,9,0,0.0,2,1,0,0.0,0,44,14,0.31818181818181818,7,1,0,0.0,0,393,0.1806615776081425,0.16539440203562342
angular/angular-seed,2015-06-15 09:41:06 UTC,Non-surviving,0,0,0.0,0,0,0,0.0,0,1,0,0.0,0,0,0,0.0,0,1,0,0.0,0,0,0,0.0,0,12,3,0.25,0,4,1,0.25,0,207,0.12077294685990338,0.077294685990338161
