repo_name,commits,author_emails,start_time,end_time,bug_fix_hit_rate
Netflix/eureka,1602,115,2001-01-03 18:11:32 UTC,2019-09-04 16:56:03 UTC,0.20474406991260924
NoamB/sorcery,1148,159,2010-12-24 10:22:42 UTC,2016-10-06 04:16:23 UTC,0.20121951219512196
PyMySQL/PyMySQL,917,103,2009-06-16 16:38:15 UTC,2019-09-13 05:16:40 UTC,0.25408942202835333
RolifyCommunity/rolify,746,86,2011-06-03 20:55:57 UTC,2019-05-07 16:33:34 UTC,0.21447721179624665
RubyMoney/money,1506,265,2008-10-31 13:18:07 UTC,2019-08-08 22:58:59 UTC,0.14674634794156707
SheetJS/js-xlsx,424,91,2012-12-03 19:25:53 UTC,2019-09-04 06:26:56 UTC,0.28773584905660377
Shopify/identity_cache,708,74,2013-02-28 01:50:51 UTC,2019-09-03 12:48:58 UTC,0.15677966101694915
Sigil-Ebook/Sigil,4591,42,2009-08-01 22:34:14 UTC,2019-09-18 15:38:05 UTC,0.265737312132433
SirVer/ultisnips,1465,145,2009-06-23 12:45:04 UTC,2019-05-05 05:05:57 UTC,0.2764505119453925
VerbalExpressions/JSVerbalExpressions,296,50,2013-07-19 14:59:46 UTC,2019-06-16 09:13:48 UTC,0.1554054054054054
VerbalExpressions/PHPVerbalExpressions,118,26,2013-07-19 14:59:46 UTC,2018-08-28 22:08:46 UTC,0.19491525423728814
WordPress-Coding-Standards/WordPress-Coding-Standards,2447,80,2011-05-02 13:10:14 UTC,2019-06-05 03:27:42 UTC,0.27543931344503475
ZipArchive/ZipArchive,628,102,2010-07-21 23:05:38 UTC,2019-08-21 14:49:19 UTC,0.2213375796178344
activeadmin/inherited_resources,752,112,2009-02-04 21:13:03 UTC,2019-08-21 09:58:05 UTC,0.14893617021276595
adamfisk/LittleProxy,1003,40,2009-10-24 21:09:28 UTC,2017-09-25 13:43:29 UTC,0.17647058823529413
afaqurk/linux-dash,855,105,2013-10-16 15:03:07 UTC,2017-11-13 00:38:07 UTC,0.20233918128654971
airblade/paper_trail,2085,208,2009-05-27 15:21:20 UTC,2019-03-14 18:54:46 UTC,0.19136690647482013
andersao/l5-repository,448,94,2015-02-12 19:58:24 UTC,2019-09-11 14:09:40 UTC,0.21875
angular-app/angular-app,393,27,2012-09-04 18:47:38 UTC,2016-04-11 19:16:36 UTC,0.1806615776081425
angular/angular-seed,207,54,2010-12-24 06:21:27 UTC,2018-11-15 14:05:18 UTC,0.12077294685990338
apenwarr/sshuttle,414,38,2010-05-01 20:15:37 UTC,2016-03-02 23:38:33 UTC,0.31159420289855072
arasatasaygin/is.js,403,45,2015-01-01 19:09:04 UTC,2018-05-24 15:04:26 UTC,0.11414392059553349
assaf/vanity,838,91,2009-11-04 05:52:12 UTC,2019-04-10 00:11:44 UTC,0.21121718377088305
attr-encrypted/attr_encrypted,327,34,2009-01-08 05:01:59 UTC,2018-12-16 19:22:08 UTC,0.15902140672782875
avast/android-butterknife-zelezny,84,12,2013-12-23 14:22:48 UTC,2017-04-16 13:59:03 UTC,0.25
awesome-print/awesome_print,478,67,2010-03-25 04:31:59 UTC,2019-01-09 16:52:05 UTC,0.1903765690376569
backup/backup,1273,123,2011-02-17 19:55:15 UTC,2018-10-21 00:31:16 UTC,0.14218381775333858
banga/powerline-shell,572,87,2012-09-09 16:23:16 UTC,2018-09-16 00:24:03 UTC,0.17657342657342656
binarylogic/settingslogic,121,24,2008-10-31 03:30:38 UTC,2014-08-07 14:41:30 UTC,0.19008264462809918
bower/bower,2717,258,2012-09-07 00:11:42 UTC,2019-08-29 15:19:21 UTC,0.2340817077659183
boxen/our-boxen,651,100,2012-10-02 18:43:59 UTC,2017-12-06 20:27:34 UTC,0.16282642089093702
brandonhilkert/sucker_punch,311,42,2013-01-19 16:37:20 UTC,2019-05-16 13:48:40 UTC,0.083601286173633438
browsermedia/browsercms,2533,62,2008-08-27 15:27:46 UTC,2017-08-12 16:57:35 UTC,0.3197789182787209
brynary/webrat,1082,103,2008-03-02 20:14:52 UTC,2014-03-19 08:52:24 UTC,0.10720887245841035
c3js/c3,1980,165,2013-05-08 15:31:25 UTC,2019-09-09 15:10:52 UTC,0.39343434343434341
caolan/async,1764,249,2010-05-13 17:50:50 UTC,2019-06-30 23:47:54 UTC,0.19897959183673469
capistrano/capistrano,1643,266,2013-02-01 09:19:14 UTC,2019-09-12 16:29:24 UTC,0.23250152160681681
casperjs/casperjs,2226,224,2011-09-05 14:15:02 UTC,2018-09-12 19:53:32 UTC,0.26909254267744837
chrisbanes/PhotoView,444,42,2012-07-17 16:39:00 UTC,2018-11-28 19:45:36 UTC,0.19369369369369369
chriso/validator.js,1753,272,2010-10-06 07:13:04 UTC,2019-08-20 06:34:22 UTC,0.14546491728465488
cloudera/hue,16585,235,2010-06-26 00:29:17 UTC,2019-09-17 14:12:53 UTC,0.20186915887850468
